"",BBSF2.M.1.S.00000.IMM01.I.F.DGG.U201.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.DGG.U201.00000.000000.Z01.00_FLAGS
"","Special investors funds / Real estate funds / Loans granted to real estate companies / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:49,
2009-09,330,
2009-10,406,
2009-11,408,
2009-12,390,
2010-01,440,
2010-02,432,
2010-03,429,
2010-04,441,
2010-05,423,
2010-06,447,
2010-07,447,
2010-08,445,
2010-09,454,
2010-10,454,
2010-11,459,
2010-12,459,
2011-01,457,
2011-02,457,
2011-03,469,
2011-04,438,
2011-05,439,
2011-06,434,
2011-07,451,
2011-08,451,
2011-09,490,
2011-10,437,
2011-11,504,
2011-12,487,
2012-01,477,
2012-02,477,
2012-03,553,
2012-04,536,
2012-05,551,
2012-06,559,
2012-07,548,
2012-08,549,
2012-09,542,
2012-10,581,
2012-11,593,
2012-12,587,
2013-01,607,
2013-02,547,
2013-03,573,
2013-04,582,
2013-05,589,
2013-06,537,
2013-07,569,
2013-08,599,
2013-09,617,
2013-10,619,
2013-11,641,
2013-12,680,
2014-01,678,
2014-02,745,
2014-03,717,
2014-04,733,
2014-05,760,
2014-06,750,
2014-07,749,
2014-08,748,
2014-09,794,
2014-10,810,
2014-11,814,
