"",BBFB1.Q.N.DE.A5.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A5.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / Central America and Caribbean countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:04,
1991-01,88.868,
1991-04,88.568,
1991-07,89.036,
1991-10,85.068,
1992-01,127.054,
1992-04,132.759,
1992-07,136.604,
1992-10,142.777,
1993-01,143.057,
1993-04,143.978,
1993-07,148.704,
1993-10,151.752,
1994-01,75.153,
1994-04,73.082,
1994-07,74.140,
1994-10,73.027,
1995-01,95.171,
1995-04,94.837,
1995-07,95.053,
1995-10,94.839,
1996-01,44.334,
1996-04,42.275,
1996-07,43.774,
1996-10,45.188,
1997-01,67.781,
1997-04,66.263,
1997-07,68.905,
1997-10,78.965,
1998-01,191.329,
1998-04,184.576,
1998-07,197.901,
1998-10,234.316,
1999-01,174.400,
1999-04,223.124,
1999-07,193.028,
1999-10,201.056,
2000-01,575.293,
2000-04,478.797,
2000-07,520.195,
2000-10,586.233,
2001-01,1416.358,
2001-04,1527.564,
2001-07,1600.280,
2001-10,1615.761,
2002-01,542.256,
2002-04,540.261,
2002-07,560.732,
2002-10,608.793,
2003-01,451.465,
2003-04,485.049,
2003-07,492.382,
2003-10,459.843,
2004-01,203.260,
2004-04,178.460,
2004-07,169.102,
2004-10,176.419,
2005-01,1540.886,
2005-04,1614.547,
2005-07,1636.654,
2005-10,1598.098,
2006-01,489.056,
2006-04,460.142,
2006-07,452.446,
2006-10,459.794,
2007-01,382.481,
2007-04,426.262,
2007-07,440.722,
2007-10,420.220,
2008-01,556.255,
2008-04,558.685,
2008-07,556.589,
2008-10,569.050,
2009-01,499.718,
2009-04,483.598,
2009-07,506.198,
2009-10,496.719,
2010-01,638.006,
2010-04,670.803,
2010-07,701.039,
2010-10,756.342,
2011-01,687.612,
2011-04,724.273,
2011-07,743.860,
2011-10,780.871,
2012-01,881.360,
2012-04,881.727,
2012-07,885.030,
2012-10,899.171,
2013-01,591.501,
2013-04,593.265,
2013-07,600.741,
2013-10,620.813,
2014-01,643.569,Provisional value
2014-04,722.846,Provisional value
2014-07,773.266,Provisional value
