"",BBK01.OEAD05V,BBK01.OEAD05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:55,
2002-01,0.749,
2002-04,0.736,
2002-07,0.736,
2002-10,0.716,
2003-01,0.743,
2003-04,0.675,
2003-07,0.681,
2003-10,0.635,
2004-01,0.634,
2004-04,0.598,
2004-07,0.593,
2004-10,0.587,
2005-01,0.591,
2005-04,0.583,
2005-07,0.562,
2005-10,0.555,
2006-01,0.556,
2006-04,0.556,
2006-07,0.561,
2006-10,0.562,
2007-01,0.563,
2007-04,0.563,
2007-07,0.588,
2007-10,0.613,
2008-01,0.591,
2008-04,0.623,
2008-07,0.681,
2008-10,0.679,
2009-01,0.714,
2009-04,0.749,
2009-07,0.733,
2009-10,0.937,
2010-01,0.727,
2010-04,0.720,
2010-07,0.717,
2010-10,0.723,
2011-01,0.736,
2011-04,0.727,
2011-07,0.737,
2011-10,0.730,
2012-01,0.758,
2012-04,0.764,
2012-07,0.754,
2012-10,0.741,
2013-01,0.768,
2013-04,0.769,
2013-07,0.759,
2013-10,0.720,
2014-01,0.738,
2014-04,0.744,
2014-07,0.736,
