"",BBK01.OELB16L,BBK01.OELB16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:00,
2002-01,6.232,
2002-04,6.261,
2002-07,6.276,
2002-10,6.316,
2003-01,6.289,
2003-04,6.343,
2003-07,6.352,
2003-10,6.401,
2004-01,6.361,
2004-04,6.378,
2004-07,6.384,
2004-10,6.339,
2005-01,6.291,
2005-04,6.314,
2005-07,6.360,
2005-10,6.400,
2006-01,6.378,
2006-04,6.422,
2006-07,6.464,
2006-10,6.561,
2007-01,6.567,
2007-04,6.675,
2007-07,6.739,
2007-10,6.745,
2008-01,6.698,
2008-04,6.757,
2008-07,6.747,
2008-10,6.795,
2009-01,6.801,
2009-04,6.877,
2009-07,6.959,
2009-10,7.028,
2010-01,7.041,
2010-04,7.141,
2010-07,7.177,
2010-10,7.211,
2011-01,7.176,
2011-04,7.239,
2011-07,7.293,
2011-10,7.349,
2012-01,7.352,
2012-04,8.801,
2012-07,8.857,
2012-10,8.888,
2013-01,8.908,
2013-04,8.954,
2013-07,8.990,
2013-10,8.999,
2014-01,8.990,
2014-04,9.011,
2014-07,9.072,
