"",BBK01.OEAG05H,BBK01.OEAG05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:14,
2002-01,0.091,
2002-04,0.183,
2002-07,0.202,
2002-10,0.098,
2003-01,0.207,
2003-04,0.344,
2003-07,0.221,
2003-10,0.305,
2004-01,0.095,
2004-04,0.167,
2004-07,0.077,
2004-10,0.050,
2005-01,0.063,
2005-04,0.046,
2005-07,0.040,
2005-10,0.026,
2006-01,0.027,
2006-04,0.023,
2006-07,0.023,
2006-10,0.031,
2007-01,0.023,
2007-04,0.013,
2007-07,0.096,
2007-10,0.038,
2008-01,0.025,
2008-04,0.021,
2008-07,0.321,
2008-10,0.025,
2009-01,0.026,
2009-04,0.005,
2009-07,-,Nothing exists
2009-10,0.037,
2010-01,-,Nothing exists
2010-04,0.001,
2010-07,0.050,
2010-10,0.053,
2011-01,0.186,
2011-04,0.062,
2011-07,0.051,
2011-10,0.052,
2012-01,0.050,
2012-04,0.048,
2012-07,0.048,
2012-10,0.048,
2013-01,0.048,
2013-04,0.045,
2013-07,0.044,
2013-10,0.044,
2014-01,0.045,
2014-04,0.043,
2014-07,0.085,
