"",BBK01.WXI021,BBK01.WXI021_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:37,
2009-09,23,
2009-10,18,
2009-11,33,
2009-12,48,
2010-01,52,
2010-02,61,
2010-03,26,
2010-04,66,
2010-05,89,
2010-06,65,
2010-07,61,
2010-08,89,
2010-09,62,
2010-10,62,
2010-11,81,
2010-12,42,
2011-01,71,
2011-02,125,
2011-03,59,
2011-04,85,
2011-05,56,
2011-06,139,
2011-07,148,
2011-08,259,
2011-09,187,
2011-10,234,
2011-11,224,
2011-12,126,
2012-01,152,
2012-02,166,
2012-03,101,
2012-04,153,
2012-05,225,
2012-06,314,
2012-07,220,
2012-08,177,
2012-09,135,
2012-10,173,
2012-11,94,
2012-12,108,
2013-01,110,
2013-02,101,
2013-03,146,
2013-04,119,
2013-05,142,
2013-06,102,
2013-07,106,
2013-08,160,
2013-09,140,
2013-10,198,
2013-11,199,
2013-12,166,
2014-01,183,
2014-02,239,
2014-03,179,
2014-04,171,
2014-05,268,
2014-06,214,
2014-07,297,
2014-08,310,
2014-09,304,
2014-10,330,
2014-11,442,
