"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F51._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F51._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:02,
1991-01,1314.181,
1991-02,642.478,
1991-03,1967.123,
1991-04,1358.166,
1991-05,1250.347,
1991-06,1712.726,
1991-07,2521.442,
1991-08,970.855,
1991-09,1181.340,
1991-10,1008.919,
1991-11,2038.674,
1991-12,3744.435,
1992-01,972.286,
1992-02,850.041,
1992-03,1124.074,
1992-04,1005.274,
1992-05,1000.780,
1992-06,1201.241,
1992-07,1356.529,
1992-08,912.661,
1992-09,1823.548,
1992-10,991.775,
1992-11,787.522,
1992-12,3401.495,
1993-01,1164.238,
1993-02,717.109,
1993-03,1457.409,
1993-04,876.716,
1993-05,636.929,
1993-06,1069.156,
1993-07,1073.154,
1993-08,1245.512,
1993-09,1154.787,
1993-10,998.927,
1993-11,899.310,
1993-12,3597.252,
1994-01,980.312,
1994-02,499.200,
1994-03,2349.144,
1994-04,1240.086,
1994-05,1268.255,
1994-06,1785.672,
1994-07,767.624,
1994-08,894.450,
1994-09,772.205,
1994-10,1207.750,
1994-11,768.210,
1994-12,4179.210,
1995-01,4248.423,
1995-02,1232.682,
1995-03,2421.150,
1995-04,3372.723,
1995-05,1350.885,
1995-06,3055.696,
1995-07,935.624,
1995-08,1949.627,
1995-09,828.787,
1995-10,1010.756,
1995-11,1621.734,
1995-12,5800.379,
1996-01,2736.508,
1996-02,2010.881,
1996-03,1451.430,
1996-04,1384.792,
1996-05,1730.136,
1996-06,1491.664,
1996-07,3293.823,
1996-08,2145.092,
1996-09,1462.451,
1996-10,2209.678,
1996-11,3152.217,
1996-12,3851.454,
1997-01,4106.990,
1997-02,1954.563,
1997-03,1711.170,
1997-04,1037.805,
1997-05,1499.352,
1997-06,2344.440,
1997-07,3754.035,
1997-08,1631.501,
1997-09,2831.166,
1997-10,1233.313,
1997-11,2080.341,
1997-12,6056.556,
1998-01,4044.380,
1998-02,2150.610,
1998-03,1568.847,
1998-04,5186.681,
1998-05,2606.764,
1998-06,3833.006,
1998-07,3751.449,
1998-08,587.627,
1998-09,4302.838,
1998-10,2728.263,
1998-11,29956.661,
1998-12,2749.318,
1999-01,1935.421,
1999-02,2660.674,
1999-03,2901.283,
1999-04,2894.379,
1999-05,7590.920,
1999-06,15422.487,
1999-07,2225.805,
1999-08,7001.569,
1999-09,4121.077,
1999-10,13838.338,
1999-11,1412.298,
1999-12,34032.004,
2000-01,4600.977,
2000-02,7988.773,
2000-03,6184.619,
2000-04,8409.332,
2000-05,7110.166,
2000-06,7241.981,
2000-07,15522.134,
2000-08,5539.965,
2000-09,5100.610,
2000-10,12529.023,
2000-11,6150.195,
2000-12,-21207.116,
2001-01,5352.301,
2001-02,-662.430,
2001-03,-5956.077,
2001-04,1818.690,
2001-05,36859.911,
2001-06,-1541.026,
2001-07,6939.077,
2001-08,1622.760,
2001-09,8997.371,
2001-10,4963.123,
2001-11,4094.339,
2001-12,-1686.309,
2002-01,-1524.412,
2002-02,1597.027,
2002-03,2383.780,
2002-04,2425.085,
2002-05,6944.034,
2002-06,10365.395,
2002-07,6418.974,
2002-08,3928.753,
2002-09,6727.703,
2002-10,45.056,
2002-11,2710.196,
2002-12,-1045.802,
2003-01,2902.877,
2003-02,2774.577,
2003-03,4004.373,
2003-04,318.248,
2003-05,2324.617,
2003-06,2161.129,
2003-07,981.614,
2003-08,2334.138,
2003-09,-1137.739,
2003-10,2193.100,
2003-11,1943.198,
2003-12,8221.754,
2004-01,-1015.620,
2004-02,-16391.316,
2004-03,3490.237,
2004-04,837.995,
2004-05,2388.533,
2004-06,3096.433,
2004-07,914.553,
2004-08,-1041.086,
2004-09,2533.067,
2004-10,2626.301,
2004-11,6008.682,
2004-12,-862.485,
2005-01,4463.995,
2005-02,4749.249,
2005-03,2049.563,
2005-04,3875.590,
2005-05,4405.540,
2005-06,3825.788,
2005-07,2621.210,
2005-08,2420.046,
2005-09,3338.293,
2005-10,9049.311,
2005-11,6275.431,
2005-12,980.136,
2006-01,8013.680,
2006-02,5232.329,
2006-03,1611.817,
2006-04,2575.140,
2006-05,6871.028,
2006-06,6428.922,
2006-07,3869.274,
2006-08,4938.798,
2006-09,24207.431,
2006-10,9390.655,
2006-11,9968.626,
2006-12,15731.989,
2007-01,96.382,
2007-02,8439.716,
2007-03,8147.877,
2007-04,6793.554,
2007-05,10128.046,
2007-06,6089.450,
2007-07,6970.985,
2007-08,6755.545,
2007-09,-2128.158,
2007-10,17990.143,
2007-11,3280.042,
2007-12,6541.381,
2008-01,11485.659,
2008-02,6593.750,
2008-03,2324.091,
2008-04,4124.110,
2008-05,2256.656,
2008-06,5926.730,
2008-07,4013.217,
2008-08,858.745,
2008-09,717.308,
2008-10,987.438,
2008-11,8198.027,
2008-12,-16379.073,
2009-01,13656.914,
2009-02,4392.574,
2009-03,4917.533,
2009-04,9175.269,
2009-05,4963.244,
2009-06,3179.954,
2009-07,5330.294,
2009-08,5713.656,
2009-09,7399.652,
2009-10,2985.246,
2009-11,1321.933,
2009-12,1633.131,
2010-01,7884.969,
2010-02,11579.491,
2010-03,6148.870,
2010-04,4014.460,
2010-05,2198.348,
2010-06,7476.110,
2010-07,1537.408,
2010-08,9185.874,
2010-09,2908.629,
2010-10,6484.190,
2010-11,7416.910,
2010-12,9386.008,
2011-01,9807.221,
2011-02,5381.958,
2011-03,3691.806,
2011-04,5554.679,
2011-05,5630.058,
2011-06,9039.637,
2011-07,1047.435,
2011-08,5891.862,
2011-09,9282.884,
2011-10,2946.450,
2011-11,6423.931,
2011-12,-1484.906,
2012-01,10448.873,
2012-02,8136.864,
2012-03,5906.702,
2012-04,5211.947,
2012-05,5308.852,
2012-06,-1314.067,
2012-07,9374.570,
2012-08,7343.257,
2012-09,4585.612,
2012-10,7904.592,
2012-11,2106.920,
2012-12,3201.069,
2013-01,11146.511,
2013-02,3531.122,
2013-03,2359.443,
2013-04,6017.056,
2013-05,2756.775,
2013-06,2202.042,
2013-07,2561.853,
2013-08,5172.134,
2013-09,3245.761,
2013-10,7000.355,
2013-11,-3112.285,
2013-12,183.859,
2014-01,9240.743,
2014-02,6287.555,Provisional value
2014-03,4463.982,Provisional value
2014-04,4822.385,Provisional value
2014-05,11157.680,Provisional value
2014-06,2731.084,Provisional value
2014-07,4608.604,Provisional value
2014-08,4792.151,Provisional value
2014-09,2738.593,
2014-10,2613.133,
2014-11,9047.318,
2014-12,7137.240,Provisional value
