"",BBFN1.M.DE.N.1.A.BG.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BG.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Bulgaria,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:54,
1994-07,0.099,
1994-08,0.109,
1994-09,0.107,
1994-10,0.103,
1994-11,0.105,
1994-12,0.110,
1995-01,0.116,
1995-02,0.129,
1995-03,0.124,
1995-04,0.124,
1995-05,0.123,
1995-06,0.131,
1995-07,0.132,
1995-08,0.130,
1995-09,0.140,
1995-10,0.133,
1995-11,0.148,
1995-12,0.149,
1996-01,0.145,
1996-02,0.135,
1996-03,0.155,
1996-04,0.155,
1996-05,0.161,
1996-06,0.167,
1996-07,0.169,
1996-08,0.183,
1996-09,0.176,
1996-10,0.185,
1996-11,0.190,
1996-12,0.169,
1997-01,0.171,
1997-02,0.179,
1997-03,0.142,
1997-04,0.152,
1997-05,0.159,
1997-06,0.164,
1997-07,0.165,
1997-08,0.167,
1997-09,0.161,
1997-10,0.171,
1997-11,0.167,
1997-12,0.168,
1998-01,0.167,
1998-02,0.173,
1998-03,0.173,
1998-04,0.176,
1998-05,0.185,
1998-06,0.197,
1998-07,0.188,
1998-08,0.170,
1998-09,0.173,
1998-10,0.174,
1998-11,0.167,
1998-12,0.158,
1999-01,0.161,
1999-02,0.167,
1999-03,0.174,
1999-04,0.135,
1999-05,0.158,
1999-06,0.164,
1999-07,0.138,
1999-08,0.149,
1999-09,0.141,
1999-10,0.152,
1999-11,0.150,
1999-12,0.145,
2000-01,0.154,
2000-02,0.156,
2000-03,0.170,
2000-04,0.171,
2000-05,0.181,
2000-06,0.187,
2000-07,0.183,
2000-08,0.179,
2000-09,0.173,
2000-10,0.167,
2000-11,0.178,
2000-12,0.177,
2001-01,0.180,
2001-02,0.186,
2001-03,0.201,
2001-04,0.217,
2001-05,0.219,
2001-06,0.233,
2001-07,0.227,
2001-08,0.227,
2001-09,0.222,
2001-10,0.216,
2001-11,0.219,
2001-12,0.241,
2002-01,0.227,
2002-02,0.241,
2002-03,0.234,
2002-04,0.268,
2002-05,0.263,
2002-06,0.275,
2002-07,0.266,
2002-08,0.255,
2002-09,0.257,
2002-10,0.250,
2002-11,0.243,
2002-12,0.244,
2003-01,0.248,
2003-02,0.248,
2003-03,0.242,
2003-04,0.254,
2003-05,0.268,
2003-06,0.275,
2003-07,0.266,
2003-08,0.251,
2003-09,0.242,
2003-10,0.242,
2003-11,0.245,
2003-12,0.253,
2004-01,0.253,
2004-02,0.255,
2004-03,0.268,
2004-04,0.278,
2004-05,0.291,
2004-06,0.294,
2004-07,0.282,
2004-08,0.273,
2004-09,0.315,
2004-10,0.277,
2004-11,0.279,
2004-12,0.246,
2005-01,0.240,
2005-02,0.263,
2005-03,0.270,
2005-04,0.289,
2005-05,0.277,
2005-06,0.282,
2005-07,0.271,
2005-08,0.255,
2005-09,0.255,
2005-10,0.264,
2005-11,0.276,
2005-12,0.256,
2006-01,0.252,
2006-02,0.272,
2006-03,0.301,
2006-04,0.300,
2006-05,0.325,
2006-06,0.322,
2006-07,0.309,
2006-08,0.296,
2006-09,0.361,
2006-10,0.350,
2006-11,0.341,
2006-12,0.332,
2007-01,0.333,
2007-02,0.359,
2007-03,0.374,
2007-04,0.416,
2007-05,0.436,
2007-06,0.411,
2007-07,0.385,
2007-08,0.375,
2007-09,0.366,
2007-10,0.379,
2007-11,0.378,
2007-12,0.365,
2008-01,0.356,
2008-02,0.373,
2008-03,0.392,
2008-04,0.417,
2008-05,0.464,
2008-06,0.456,
2008-07,0.442,
2008-08,0.412,
2008-09,0.454,
2008-10,0.442,
2008-11,0.395,
2008-12,0.374,
2009-01,0.354,
2009-02,0.353,
2009-03,0.363,
2009-04,0.352,
2009-05,0.348,
2009-06,0.344,
2009-07,0.335,
2009-08,0.323,
2009-09,0.343,
2009-10,0.328,
2009-11,0.322,
2009-12,0.302,
2010-01,0.293,
2010-02,0.301,
2010-03,0.332,
2010-04,0.323,
2010-05,0.349,
2010-06,0.332,
2010-07,0.276,
2010-08,0.283,
2010-09,0.274,
2010-10,0.275,
2010-11,0.300,
2010-12,0.582,
2011-01,0.324,
2011-02,0.330,
2011-03,0.345,
2011-04,0.341,
2011-05,0.338,
2011-06,0.359,
2011-07,0.348,
2011-08,0.344,
2011-09,0.348,
2011-10,0.373,
2011-11,0.339,
2011-12,0.408,
2012-01,0.380,
2012-02,0.398,
2012-03,0.435,
2012-04,0.441,
2012-05,0.426,
2012-06,0.447,
2012-07,0.437,
2012-08,0.430,
2012-09,0.441,
2012-10,0.455,
2012-11,0.397,
2012-12,0.368,
2013-01,0.345,
2013-02,0.342,
2013-03,0.375,
2013-04,0.353,
2013-05,0.354,
2013-06,0.369,
2013-07,0.375,
2013-08,0.423,
2013-09,0.345,
2013-10,0.362,
2013-11,0.361,
2013-12,0.341,
2014-01,0.338,
2014-02,0.319,
2014-03,0.359,
2014-04,0.353,
2014-05,0.357,
2014-06,0.375,
2014-07,0.343,
2014-08,0.361,
2014-09,0.329,
2014-10,0.343,
2014-11,0.314,
2014-12,0.313,
