"",BBK01.OECL02N,BBK01.OECL02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:27,
2002-01,4.625,
2002-04,6.257,
2002-07,5.922,
2002-10,6.149,
2003-01,5.923,
2003-04,6.076,
2003-07,5.794,
2003-10,6.159,
2004-01,5.958,
2004-04,6.039,
2004-07,5.782,
2004-10,5.951,
2005-01,9.390,
2005-04,8.897,
2005-07,8.833,
2005-10,9.050,
2006-01,9.189,
2006-04,9.191,
2006-07,8.721,
2006-10,9.050,
2007-01,9.088,
2007-04,9.688,
2007-07,10.068,
2007-10,10.662,
2008-01,10.570,
2008-04,10.518,
2008-07,10.949,
2008-10,12.999,
2009-01,13.714,
2009-04,14.010,
2009-07,13.928,
2009-10,14.586,
2010-01,14.793,
2010-04,15.846,
2010-07,15.673,
2010-10,15.233,
2011-01,15.411,
2011-04,15.655,
2011-07,15.794,
2011-10,16.067,
2012-01,15.826,
2012-04,16.760,
2012-07,16.654,
2012-10,17.276,
2013-01,17.533,
2013-04,17.990,
2013-07,17.773,
2013-10,18.226,
2014-01,18.669,
2014-04,19.194,
2014-07,19.414,
