"",BBK01.OELB21L,BBK01.OELB21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:02,
2002-01,0.603,
2002-04,0.666,
2002-07,0.677,
2002-10,0.644,
2003-01,0.824,
2003-04,0.896,
2003-07,0.970,
2003-10,1.021,
2004-01,0.980,
2004-04,0.983,
2004-07,1.087,
2004-10,1.089,
2005-01,1.163,
2005-04,1.234,
2005-07,1.221,
2005-10,1.223,
2006-01,1.254,
2006-04,1.224,
2006-07,1.226,
2006-10,1.312,
2007-01,1.081,
2007-04,0.929,
2007-07,0.841,
2007-10,0.772,
2008-01,0.622,
2008-04,0.629,
2008-07,0.514,
2008-10,0.535,
2009-01,0.597,
2009-04,0.619,
2009-07,0.627,
2009-10,0.649,
2010-01,0.658,
2010-04,0.631,
2010-07,0.642,
2010-10,0.730,
2011-01,0.679,
2011-04,0.780,
2011-07,0.746,
2011-10,0.744,
2012-01,0.828,
2012-04,0.790,
2012-07,0.808,
2012-10,0.805,
2013-01,0.834,
2013-04,0.833,
2013-07,0.859,
2013-10,0.879,
2014-01,0.933,
2014-04,0.942,
2014-07,0.933,
