"",BBK01.OEXB09K,BBK01.OEXB09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:29,
2002-01,8.204,
2002-04,8.351,
2002-07,8.220,
2002-10,8.091,
2003-01,8.040,
2003-04,8.204,
2003-07,8.909,
2003-10,8.697,
2004-01,8.467,
2004-04,8.762,
2004-07,9.034,
2004-10,4.083,
2005-01,4.147,
2005-04,4.016,
2005-07,4.320,
2005-10,4.257,
2006-01,5.213,
2006-04,5.834,
2006-07,6.211,
2006-10,6.044,
2007-01,6.190,
2007-04,6.263,
2007-07,6.278,
2007-10,6.346,
2008-01,6.411,
2008-04,6.662,
2008-07,7.002,
2008-10,6.830,
2009-01,6.837,
2009-04,7.021,
2009-07,6.694,
2009-10,6.358,
2010-01,6.302,
2010-04,6.350,
2010-07,6.103,
2010-10,5.982,
2011-01,6.002,
2011-04,5.729,
2011-07,5.888,
2011-10,5.565,
2012-01,5.695,
2012-04,5.818,
2012-07,5.707,
2012-10,5.764,
2013-01,5.843,
2013-04,5.837,
2013-07,5.812,
2013-10,5.687,
2014-01,5.543,
2014-04,5.654,
2014-07,5.825,
