"",BBK01.OXA8K5,BBK01.OXA8K5_FLAGS
"","Housing loans to domestic households and non-profit institutions serving households, traditionally securitised by servicing banks (MFIs) in Germany also being the originator with removal from the balance sheet - All categories of banks",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:38,
2009-12,0.146,
2010-01,0.146,
2010-02,-,Nothing exists
2010-03,0.143,
2010-04,-,Nothing exists
2010-05,0.141,
2010-06,0.140,
2010-07,0.139,
2010-08,0.138,
2010-09,0.136,
2010-10,0.136,
2010-11,0.135,
2010-12,0.134,
2011-01,0.134,
2011-02,0.133,
2011-03,0.131,
2011-04,0.130,
2011-05,0.129,
2011-06,0.129,
2011-07,0.128,
2011-08,0.127,
2011-09,0.126,
2011-10,0.124,
2011-11,0.123,
2011-12,0.122,
2012-01,0.120,
2012-02,0.120,
2012-03,0.118,
2012-04,0.117,
2012-05,0.116,
2012-06,0.116,
2012-07,0.115,
2012-08,0.114,
2012-09,0.115,
2012-10,0.111,
2012-11,0.111,
2012-12,0.109,
2013-01,0.108,
2013-02,0.107,
2013-03,0.106,
2013-04,0.106,
2013-05,0.105,
2013-06,0.103,
2013-07,0.103,
2013-08,0.101,
2013-09,0.101,
2013-10,0.100,
2013-11,0.087,
2013-12,0.087,
2014-01,0.085,
2014-02,0.085,
2014-03,0.085,
2014-04,0.084,
2014-05,0.084,
2014-06,0.084,
2014-07,0.083,
2014-08,0.083,
2014-09,0.083,
2014-10,0.081,
2014-11,0.081,
2014-12,0.080,Provisional value
