"",BBK01.OELI05G,BBK01.OELI05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:50,
2002-01,3.767,
2002-04,3.944,
2002-07,4.044,
2002-10,4.220,
2003-01,4.280,
2003-04,4.241,
2003-07,4.209,
2003-10,4.232,
2004-01,4.287,
2004-04,4.267,
2004-07,4.326,
2004-10,4.408,
2005-01,4.451,
2005-04,4.524,
2005-07,4.447,
2005-10,4.495,
2006-01,4.465,
2006-04,4.432,
2006-07,4.501,
2006-10,4.419,
2007-01,4.311,
2007-04,4.221,
2007-07,4.224,
2007-10,4.258,
2008-01,4.183,
2008-04,4.110,
2008-07,4.154,
2008-10,4.097,
2009-01,3.959,
2009-04,3.954,
2009-07,3.957,
2009-10,4.194,
2010-01,4.373,
2010-04,4.361,
2010-07,4.328,
2010-10,4.371,
2011-01,4.380,
2011-04,4.433,
2011-07,4.459,
2011-10,4.371,
2012-01,4.039,
2012-04,3.849,
2012-07,3.695,
2012-10,3.456,
2013-01,3.224,
2013-04,3.060,
2013-07,2.978,
2013-10,2.804,
2014-01,2.767,
2014-04,2.639,
2014-07,2.483,
