"",BBK01.OEAN07S,BBK01.OEAN07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:16,
2002-01,0.118,
2002-04,0.030,
2002-07,0.037,
2002-10,0.045,
2003-01,0.043,
2003-04,0.043,
2003-07,0.043,
2003-10,0.045,
2004-01,0.048,
2004-04,0.122,
2004-07,0.049,
2004-10,0.052,
2005-01,0.045,
2005-04,0.041,
2005-07,0.043,
2005-10,0.042,
2006-01,0.044,
2006-04,0.045,
2006-07,0.049,
2006-10,0.055,
2007-01,0.054,
2007-04,0.052,
2007-07,0.052,
2007-10,0.065,
2008-01,0.053,
2008-04,0.057,
2008-07,0.056,
2008-10,0.047,
2009-01,0.046,
2009-04,0.048,
2009-07,0.046,
2009-10,0.042,
2010-01,0.030,
2010-04,0.026,
2010-07,0.023,
2010-10,0.025,
2011-01,0.029,
2011-04,0.026,
2011-07,0.028,
2011-10,0.016,
2012-01,0.028,
2012-04,0.031,
2012-07,0.032,
2012-10,0.030,
2013-01,0.031,
2013-04,0.030,
2013-07,0.030,
2013-10,0.028,
2014-01,0.023,
2014-04,0.023,
2014-07,0.024,
