"",BBK01.OEXB11G,BBK01.OEXB11G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:56,
2002-01,1.543,
2002-04,2.425,
2002-07,2.468,
2002-10,2.321,
2003-01,2.443,
2003-04,2.290,
2003-07,2.357,
2003-10,2.705,
2004-01,2.830,
2004-04,2.864,
2004-07,2.784,
2004-10,3.462,
2005-01,2.407,
2005-04,2.389,
2005-07,1.929,
2005-10,1.960,
2006-01,1.922,
2006-04,1.990,
2006-07,1.987,
2006-10,1.763,
2007-01,1.791,
2007-04,1.909,
2007-07,1.933,
2007-10,1.992,
2008-01,2.039,
2008-04,2.099,
2008-07,2.192,
2008-10,2.224,
2009-01,2.318,
2009-04,3.271,
2009-07,3.471,
2009-10,4.378,
2010-01,4.506,
2010-04,4.968,
2010-07,5.741,
2010-10,6.759,
2011-01,6.793,
2011-04,6.881,
2011-07,7.272,
2011-10,8.225,
2012-01,8.558,
2012-04,8.633,
2012-07,8.749,
2012-10,8.459,
2013-01,8.146,
2013-04,8.301,
2013-07,8.004,
2013-10,8.902,
2014-01,8.841,
2014-04,8.531,
2014-07,8.473,
