"",BBK01.TUP989,BBK01.TUP989_FLAGS
"","Monetary liabilities of central governments (Post Office, Treasury) / Euro area",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:19,
1997-09,59587,
1997-10,60508,
1997-11,61987,
1997-12,63117,
1998-01,64017,
1998-02,63312,
1998-03,64534,
1998-04,63828,
1998-05,63051,
1998-06,64084,
1998-07,63585,
1998-08,64010,
1998-09,63955,
1998-10,63833,
1998-11,64860,
1998-12,67374,
1999-01,133071,
1999-02,131226,
1999-03,142267,
1999-04,139900,
1999-05,138177,
1999-06,133864,
1999-07,138495,
1999-08,139276,
1999-09,135743,
1999-10,137745,
1999-11,137671,
1999-12,142780,
2000-01,143116,
2000-02,143141,
2000-03,143523,
2000-04,145787,
2000-05,142871,
2000-06,143541,
2000-07,143999,
2000-08,143577,
2000-09,143023,
2000-10,144268,
2000-11,144691,
2000-12,149742,
2001-01,149885,
2001-02,149642,
2001-03,150674,
2001-04,152927,
2001-05,152465,
2001-06,152391,
2001-07,153156,
2001-08,154010,
2001-09,154222,
2001-10,157517,
2001-11,160474,
2001-12,170528,
2002-01,173729,
2002-02,174354,
2002-03,175252,
2002-04,176238,
2002-05,176191,
2002-06,176538,
2002-07,174908,
2002-08,177725,
2002-09,178327,
2002-10,180250,
2002-11,181792,
2002-12,192361,
2003-01,192827,
2003-02,197424,
2003-03,199344,
2003-04,198097,
2003-05,200359,
2003-06,186608,
2003-07,154412,
2003-08,156216,
2003-09,156251,
2003-10,157257,
2003-11,158120,
2003-12,162938,
2004-01,161821,
2004-02,166352,
2004-03,168244,
2004-04,166410,
2004-05,167016,
2004-06,163196,
2004-07,170844,
2004-08,173197,
2004-09,176028,
2004-10,177676,
2004-11,185913,
2004-12,192832,
2005-01,192595,
2005-02,195485,
2005-03,194166,
2005-04,194782,
2005-05,194129,
2005-06,196557,
2005-07,200880,
2005-08,201944,
2005-09,202961,
2005-10,204701,
2005-11,211251,
2005-12,222604,
2006-01,215899,
2006-02,223064,
2006-03,224780,
2006-04,235912,
2006-05,230351,
2006-06,224965,
2006-07,224836,
2006-08,225131,
2006-09,227617,
2006-10,230276,
2006-11,237719,
2006-12,244400,
2007-01,242199,
2007-02,241716,
2007-03,241222,
2007-04,242395,
2007-05,239856,
2007-06,242395,
2007-07,245435,
2007-08,244179,
2007-09,243698,
2007-10,120643,
2007-11,122317,
2007-12,127826,
2008-01,118898,
2008-02,114151,
2008-03,113805,
2008-04,111500,
2008-05,110918,
2008-06,111951,
2008-07,111019,
2008-08,109876,
2008-09,108762,
2008-10,106267,
2008-11,109486,
2008-12,115098,
2009-01,106621,
2009-02,103634,
2009-03,105454,
2009-04,106208,
2009-05,107393,
2009-06,108700,
2009-07,109749,
2009-08,109553,
2009-09,108717,
2009-10,108637,
2009-11,110217,
2009-12,117153,
2010-01,107790,
2010-02,107771,
2010-03,106112,
2010-04,107815,
2010-05,109439,
2010-06,110377,
2010-07,114750,
2010-08,113716,
2010-09,111860,
2010-10,109752,
2010-11,111431,
2010-12,117883,
2011-01,109000,
2011-02,106831,
2011-03,106330,
2011-04,107397,
2011-05,106824,
2011-06,107385,
2011-07,108346,
2011-08,107437,
2011-09,106595,
2011-10,105196,
2011-11,108797,
2011-12,116046,
2012-01,107695,
2012-02,106487,
2012-03,107047,
2012-04,107816,
2012-05,109093,
2012-06,111023,
2012-07,113496,
2012-08,112986,
2012-09,113060,
2012-10,112103,
2012-11,114564,
2012-12,119971,
2013-01,111951,
2013-02,111093,
2013-03,110875,
2013-04,111226,
2013-05,111882,
2013-06,113000,
2013-07,116477,
2013-08,115894,
2013-09,116569,
2013-10,114312,
2013-11,117223,
2013-12,114118,
2014-01,107712,
2014-02,105308,
2014-03,106126,
2014-04,104464,
2014-05,105427,
2014-06,106702,
2014-07,107780,
2014-08,108278,
2014-09,109432,
2014-10,107780,
2014-11,113305,
2014-12,112298,
2015-01,113436,Provisional value
