"",BBK01.OEAF06T,BBK01.OEAF06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:04,
2002-01,1.162,
2002-04,1.174,
2002-07,1.201,
2002-10,1.242,
2003-01,1.223,
2003-04,1.243,
2003-07,1.143,
2003-10,1.135,
2004-01,1.109,
2004-04,1.111,
2004-07,1.126,
2004-10,1.144,
2005-01,1.122,
2005-04,1.130,
2005-07,1.142,
2005-10,1.152,
2006-01,1.127,
2006-04,1.158,
2006-07,1.186,
2006-10,1.194,
2007-01,1.189,
2007-04,1.220,
2007-07,1.252,
2007-10,1.281,
2008-01,1.287,
2008-04,1.325,
2008-07,1.354,
2008-10,1.388,
2009-01,1.406,
2009-04,1.438,
2009-07,1.399,
2009-10,1.370,
2010-01,1.345,
2010-04,1.459,
2010-07,1.469,
2010-10,1.475,
2011-01,1.524,
2011-04,1.532,
2011-07,1.576,
2011-10,1.588,
2012-01,1.601,
2012-04,1.617,
2012-07,1.637,
2012-10,1.618,
2013-01,1.603,
2013-04,1.585,
2013-07,1.616,
2013-10,1.613,
2014-01,1.621,
2014-04,1.644,
2014-07,1.664,
