"",BBK01.OEBB04O,BBK01.OEBB04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:48,
2002-01,-30.136,
2002-04,-30.911,
2002-07,-31.504,
2002-10,-31.793,
2003-01,-30.168,
2003-04,-31.415,
2003-07,-31.377,
2003-10,-31.116,
2004-01,-30.690,
2004-04,-32.090,
2004-07,-33.242,
2004-10,-31.486,
2005-01,6.974,
2005-04,6.988,
2005-07,6.947,
2005-10,6.977,
2006-01,6.908,
2006-04,6.773,
2006-07,6.795,
2006-10,6.793,
2007-01,6.803,
2007-04,6.961,
2007-07,6.931,
2007-10,6.884,
2008-01,6.875,
2008-04,6.869,
2008-07,6.915,
2008-10,6.889,
2009-01,7.772,
2009-04,8.212,
2009-07,8.198,
2009-10,8.124,
2010-01,7.760,
2010-04,7.745,
2010-07,8.104,
2010-10,8.031,
2011-01,7.626,
2011-04,7.590,
2011-07,7.548,
2011-10,7.473,
2012-01,7.484,
2012-04,7.458,
2012-07,7.456,
2012-10,7.474,
2013-01,7.496,
2013-04,7.544,
2013-07,7.647,
2013-10,7.674,
2014-01,7.723,
2014-04,7.824,
2014-07,7.850,
