"",BBK01.OEBB17Q,BBK01.OEBB17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:21,
2002-01,4.862,
2002-04,4.824,
2002-07,4.784,
2002-10,4.742,
2003-01,4.658,
2003-04,4.682,
2003-07,4.695,
2003-10,4.674,
2004-01,4.627,
2004-04,4.612,
2004-07,4.615,
2004-10,4.523,
2005-01,5.563,
2005-04,5.625,
2005-07,5.747,
2005-10,5.903,
2006-01,6.004,
2006-04,6.049,
2006-07,6.097,
2006-10,6.228,
2007-01,6.246,
2007-04,6.430,
2007-07,6.405,
2007-10,6.396,
2008-01,6.340,
2008-04,6.426,
2008-07,6.401,
2008-10,6.419,
2009-01,6.405,
2009-04,7.397,
2009-07,7.420,
2009-10,7.403,
2010-01,7.382,
2010-04,7.368,
2010-07,7.510,
2010-10,7.491,
2011-01,7.415,
2011-04,7.382,
2011-07,7.410,
2011-10,7.378,
2012-01,7.397,
2012-04,7.409,
2012-07,7.465,
2012-10,7.496,
2013-01,7.537,
2013-04,7.585,
2013-07,7.634,
2013-10,7.692,
2014-01,7.744,
2014-04,7.850,
2014-07,7.974,
