"",BBK01.OEAF12I,BBK01.OEAF12I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:35,
2002-01,2.034,
2002-04,2.020,
2002-07,2.098,
2002-10,2.059,
2003-01,1.956,
2003-04,2.018,
2003-07,1.966,
2003-10,1.804,
2004-01,1.695,
2004-04,1.708,
2004-07,1.738,
2004-10,1.605,
2005-01,1.651,
2005-04,1.591,
2005-07,1.777,
2005-10,1.734,
2006-01,1.753,
2006-04,1.641,
2006-07,1.651,
2006-10,1.584,
2007-01,1.578,
2007-04,1.625,
2007-07,1.649,
2007-10,1.644,
2008-01,1.816,
2008-04,1.995,
2008-07,2.148,
2008-10,2.324,
2009-01,2.161,
2009-04,2.185,
2009-07,2.327,
2009-10,2.300,
2010-01,2.373,
2010-04,2.478,
2010-07,2.525,
2010-10,2.471,
2011-01,2.241,
2011-04,2.299,
2011-07,2.287,
2011-10,2.260,
2012-01,2.249,
2012-04,2.331,
2012-07,2.354,
2012-10,2.398,
2013-01,2.261,
2013-04,2.360,
2013-07,2.533,
2013-10,2.729,
2014-01,2.538,
2014-04,2.581,
2014-07,2.703,
