"",BBK01.OEHO04P,BBK01.OEHO04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:51,
2002-01,-0.034,
2002-04,-0.061,
2002-07,-0.032,
2002-10,0.033,
2003-01,0.032,
2003-04,0.003,
2003-07,0.004,
2003-10,0.008,
2004-01,0.006,
2004-04,-0.031,
2004-07,-0.024,
2004-10,0.001,
2005-01,-0.003,
2005-04,-0.032,
2005-07,-0.036,
2005-10,0.006,
2006-01,-0.004,
2006-04,-0.044,
2006-07,-0.054,
2006-10,-0.060,
2007-01,-0.076,
2007-04,-0.085,
2007-07,-0.075,
2007-10,-0.055,
2008-01,-0.089,
2008-04,-0.051,
2008-07,-0.078,
2008-10,0.001,
2009-01,0.005,
2009-04,0.032,
2009-07,0.013,
2009-10,0.043,
2010-01,0.033,
2010-04,0.012,
2010-07,-0.042,
2010-10,-0.005,
2011-01,0.008,
2011-04,-0.013,
2011-07,-0.051,
2011-10,-0.056,
2012-01,-0.061,
2012-04,-0.076,
2012-07,-0.040,
2012-10,0.022,
2013-01,-0.057,
2013-04,-0.097,
2013-07,-0.084,
2013-10,-0.052,
2014-01,-0.053,
2014-04,-0.057,
2014-07,-0.073,
