"",BBK01.OEAC55P,BBK01.OEAC55P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:36,
2002-01,2.462,
2002-04,2.459,
2002-07,2.438,
2002-10,2.457,
2003-01,2.493,
2003-04,2.467,
2003-07,3.368,
2003-10,3.392,
2004-01,3.403,
2004-04,3.424,
2004-07,3.268,
2004-10,3.417,
2005-01,3.426,
2005-04,3.436,
2005-07,3.413,
2005-10,3.353,
2006-01,3.333,
2006-04,3.292,
2006-07,3.319,
2006-10,3.337,
2007-01,3.320,
2007-04,3.280,
2007-07,3.233,
2007-10,3.253,
2008-01,3.218,
2008-04,3.259,
2008-07,3.295,
2008-10,3.313,
2009-01,3.313,
2009-04,3.398,
2009-07,3.451,
2009-10,3.471,
2010-01,3.485,
2010-04,3.438,
2010-07,3.332,
2010-10,3.698,
2011-01,3.642,
2011-04,3.668,
2011-07,3.365,
2011-10,3.362,
2012-01,3.340,
2012-04,3.405,
2012-07,3.463,
2012-10,3.449,
2013-01,3.468,
2013-04,3.430,
2013-07,3.380,
2013-10,3.403,
2014-01,3.342,
2014-04,3.287,
2014-07,3.327,
