"",BBK01.CEFF53,BBK01.CEFF53_FLAGS
"",long-term loans  debtor: OFI                                                          creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:58,
1999-01,21.0,
1999-04,21.4,
1999-07,13.5,
1999-10,11.3,
2000-01,10.6,
2000-04,10.8,
2000-07,12.3,
2000-10,13.8,
2001-01,13.1,
2001-04,12.6,
2001-07,14.0,
2001-10,16.4,
2002-01,16.1,
2002-04,18.1,
2002-07,20.0,
2002-10,21.3,
2003-01,20.1,
2003-04,17.9,
2003-07,17.3,
2003-10,15.2,
2004-01,14.3,
2004-04,12.8,
2004-07,15.5,
2004-10,14.7,
2005-01,15.8,
2005-04,17.0,
2005-07,19.6,
2005-10,23.1,
2006-01,21.9,
2006-04,22.9,
2006-07,23.2,
2006-10,20.9,
2007-01,25.0,
2007-04,26.3,
2007-07,29.0,
2007-10,30.2,
2008-01,34.5,
2008-04,37.8,
2008-07,41.9,
2008-10,46.4,
2009-01,43.7,
2009-04,47.3,
2009-07,53.0,
2009-10,56.8,
2010-01,58.0,
2010-04,58.0,
2010-07,59.2,
2010-10,60.8,
2011-01,61.5,
2011-04,61.5,
2011-07,66.1,
2011-10,68.6,
2012-01,69.3,
2012-04,67.3,
2012-07,71.0,
2012-10,66.0,
2013-01,66.3,
2013-04,67.3,
2013-07,64.5,
2013-10,66.2,
2014-01,67.9,
2014-04,66.8,
2014-07,68.4,
