"",BBK01.OEAD37U,BBK01.OEAD37U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:51,
2002-01,0.145,
2002-04,0.152,
2002-07,0.152,
2002-10,0.151,
2003-01,0.150,
2003-04,0.150,
2003-07,0.146,
2003-10,0.146,
2004-01,0.141,
2004-04,0.131,
2004-07,0.132,
2004-10,0.127,
2005-01,0.123,
2005-04,0.126,
2005-07,0.112,
2005-10,0.111,
2006-01,0.109,
2006-04,0.109,
2006-07,0.112,
2006-10,0.128,
2007-01,0.129,
2007-04,0.129,
2007-07,0.129,
2007-10,0.138,
2008-01,0.142,
2008-04,0.149,
2008-07,0.133,
2008-10,0.141,
2009-01,0.140,
2009-04,0.149,
2009-07,0.166,
2009-10,0.164,
2010-01,0.169,
2010-04,0.170,
2010-07,0.171,
2010-10,0.176,
2011-01,0.175,
2011-04,0.171,
2011-07,0.163,
2011-10,0.146,
2012-01,0.149,
2012-04,0.152,
2012-07,0.152,
2012-10,0.150,
2013-01,0.144,
2013-04,0.140,
2013-07,0.144,
2013-10,0.142,
2014-01,0.131,
2014-04,0.137,
2014-07,0.137,
