"",BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:40:34,
1991-01,422.339,
1991-04,560.829,
1991-07,566.466,
1991-10,408.483,
1992-01,-227.275,
1992-04,-85.824,
1992-07,-234.416,
1992-10,-281.606,
1993-01,-259.146,
1993-04,-197.022,
1993-07,-156.812,
1993-10,-314.108,
1994-01,56.110,
1994-04,123.262,
1994-07,267.250,
1994-10,105.869,
1995-01,-36.568,
1995-04,-65.813,
1995-07,-89.618,
1995-10,-80.269,
1996-01,278.075,
1996-04,343.866,
1996-07,496.114,
1996-10,381.689,
1997-01,680.795,
1997-04,779.494,
1997-07,756.811,
1997-10,767.810,
1998-01,332.141,
1998-04,311.326,
1998-07,315.354,
1998-10,-1082.423,
1999-01,652.842,
1999-04,572.674,
1999-07,603.879,
1999-10,715.733,
2000-01,-1394.022,
2000-04,-1844.624,
2000-07,-1475.516,
2000-10,-1532.181,
2001-01,-3128.773,
2001-04,-1341.597,
2001-07,-101.024,
2001-10,-2790.847,
2002-01,-1246.050,
2002-04,-2998.762,
2002-07,-751.517,
2002-10,-3633.795,
2003-01,-557.226,
2003-04,-1053.250,
2003-07,4.614,
2003-10,-894.054,
2004-01,2522.629,
2004-04,-190.716,
2004-07,2274.678,
2004-10,1084.649,
2005-01,2985.307,
2005-04,659.727,
2005-07,2983.928,
2005-10,1967.044,
2006-01,4254.048,
2006-04,2093.237,
2006-07,4948.915,
2006-10,2918.016,
2007-01,7506.153,
2007-04,4143.901,
2007-07,4578.795,
2007-10,784.118,
2008-01,-1031.218,
2008-04,-6408.428,
2008-07,-2408.616,
2008-10,-4204.212,
2009-01,2045.686,
2009-04,-97.626,
2009-07,4519.008,
2009-10,2234.351,
2010-01,1196.541,
2010-04,1704.985,
2010-07,3992.044,
2010-10,866.907,
2011-01,4825.686,
2011-04,4697.900,
2011-07,7123.387,
2011-10,2093.432,
2012-01,5525.284,
2012-04,4952.128,
2012-07,6688.493,
2012-10,1502.169,
2013-01,4614.676,
2013-04,3086.105,
2013-07,6468.209,
2013-10,674.335,
2014-01,5668.530,Provisional value
2014-04,6349.530,Provisional value
2014-07,6385.248,Provisional value
2014-10,-1605.302,Provisional value
