"",BBK01.OEYB05H,BBK01.OEYB05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:30,
2002-01,148.265,
2002-04,145.009,
2002-07,146.622,
2002-10,143.771,
2003-01,140.158,
2003-04,138.311,
2003-07,136.402,
2003-10,146.445,
2004-01,146.179,
2004-04,139.806,
2004-07,140.388,
2004-10,134.072,
2005-01,129.381,
2005-04,128.668,
2005-07,127.120,
2005-10,122.959,
2006-01,127.825,
2006-04,124.629,
2006-07,125.215,
2006-10,119.514,
2007-01,122.885,
2007-04,119.701,
2007-07,120.821,
2007-10,112.730,
2008-01,118.582,
2008-04,118.191,
2008-07,117.721,
2008-10,112.388,
2009-01,115.171,
2009-04,110.976,
2009-07,114.620,
2009-10,109.314,
2010-01,107.409,
2010-04,107.189,
2010-07,106.895,
2010-10,168.256,
2011-01,144.432,
2011-04,128.438,
2011-07,118.953,
2011-10,111.703,
2012-01,109.311,
2012-04,109.662,
2012-07,109.038,
2012-10,109.125,
2013-01,106.457,
2013-04,103.268,
2013-07,100.775,
2013-10,100.345,
2014-01,99.495,
2014-04,98.498,
2014-07,99.208,
