"",BBK01.OEBB03J,BBK01.OEBB03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:58,
2002-01,0.787,
2002-04,0.746,
2002-07,0.644,
2002-10,0.527,
2003-01,0.504,
2003-04,0.505,
2003-07,0.511,
2003-10,0.490,
2004-01,0.484,
2004-04,0.466,
2004-07,0.492,
2004-10,0.469,
2005-01,0.461,
2005-04,0.457,
2005-07,0.448,
2005-10,0.425,
2006-01,0.411,
2006-04,0.389,
2006-07,0.435,
2006-10,0.435,
2007-01,0.467,
2007-04,0.457,
2007-07,0.482,
2007-10,0.510,
2008-01,0.517,
2008-04,0.515,
2008-07,0.531,
2008-10,0.499,
2009-01,0.510,
2009-04,0.514,
2009-07,0.516,
2009-10,0.518,
2010-01,0.508,
2010-04,0.494,
2010-07,0.464,
2010-10,0.470,
2011-01,0.450,
2011-04,0.454,
2011-07,0.463,
2011-10,0.452,
2012-01,0.426,
2012-04,0.735,
2012-07,0.670,
2012-10,0.369,
2013-01,0.384,
2013-04,0.392,
2013-07,0.393,
2013-10,0.391,
2014-01,0.368,
2014-04,0.390,
2014-07,0.395,
