"",BBK01.RJ7506,BBK01.RJ7506_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-04-30 10:35:15,
1989,.,No value available
1990,.,No value available
1991,2,
1992,2,
1993,.,No value available
1994,.,No value available
1995,.,No value available
1996,.,No value available
1997,1,
1998,2,
1999,.,No value available
2000,.,No value available
2001,.,No value available
2002,.,No value available
2003,.,No value available
2004,-,Nothing exists
2005,-,Nothing exists
2006,-,Nothing exists
2007,.,No value available
2008,.,No value available
2009,.,No value available
2010,-,Nothing exists
2011,-,Nothing exists
2012,-,Nothing exists
