"",BBEX3.M.ARS.USD.CA.AA.A01,BBEX3.M.ARS.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Argentina / USD 1 = ARS ... (buying),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:44,
2002-02,2.0500,
2002-03,2.9000,
2002-04,2.8800,
2002-05,3.5000,
2002-06,3.7000,
2002-07,3.6000,
2002-08,3.5300,
2002-09,3.6400,
2002-10,3.4200,
2002-11,3.5400,
2002-12,3.2800,
2003-01,3.1100,
2003-02,3.0900,
2003-03,2.8800,
2003-04,2.7200,
2003-05,2.7500,
2003-06,2.7000,
2003-07,2.8200,
2003-08,2.8560,
2003-09,2.8150,
2003-10,2.7650,
2003-11,2.8900,
2003-12,2.8800,
2004-01,2.8880,
2004-02,2.8830,
2004-03,2.8200,
2004-04,2.8000,
2004-05,2.9200,
2004-06,2.9180,
2004-07,2.9400,
2004-08,2.9570,
2004-09,2.9410,
2004-10,2.9300,
2004-11,2.9050,
2004-12,2.9390,
2005-01,2.8840,
2005-02,2.8980,
2005-03,2.8770,
2005-04,2.8700,
2005-05,2.8430,
2005-06,2.8470,
2005-07,2.8210,
2005-08,2.8710,
2005-09,2.8700,
2005-10,2.9620,
2005-11,2.9260,
2005-12,2.9920,
2006-01,3.0260,
2006-02,3.0340,
2006-03,3.0420,
2006-04,3.0080,
2006-05,3.0450,
2006-06,3.0460,
2006-07,3.0320,
2006-08,3.0570,
2006-09,3.0640,
2006-10,3.0490,
2006-11,3.0280,
2006-12,3.0220,
2007-01,3.0670,
2007-02,3.0600,
2007-03,3.0600,
2007-04,3.0500,
2007-05,3.0370,
2007-06,3.0530,
2007-07,3.0810,
2007-08,3.1160,
2007-09,3.1100,
2007-10,3.1020,
2007-11,3.1050,
2007-12,3.1090,
2008-01,3.1180,
2008-02,3.1210,
2008-03,3.1280,
2008-04,3.1240,
2008-05,3.0590,
2008-06,2.9850,
2008-07,3.0040,
2008-08,2.9900,
2008-09,3.0950,
2008-10,3.3480,
2008-11,3.3330,
2008-12,3.4130,
2009-01,3.4480,
2009-02,3.5270,
2009-03,3.6800,
2009-04,3.6740,
2009-05,3.7090,
2009-06,3.7570,
2009-07,3.7900,
2009-08,3.8110,
2009-09,3.8030,
2009-10,3.7790,
2009-11,3.7710,
2009-12,3.7600,
2010-01,3.7950,
2010-02,3.8190,
2010-03,3.8380,
2010-04,3.8480,
2010-05,3.8890,
2010-06,3.8910,
2010-07,3.9000,
2010-08,3.9100,
2010-09,3.9200,
2010-10,3.9170,
2010-11,3.9480,
2010-12,3.9360,
2011-01,3.9680,
2011-02,3.9900,
2011-03,4.0140,
2011-04,4.0400,
2011-05,4.0500,
2011-06,4.0700,
2011-07,4.1050,
2011-08,4.1600,
2011-09,4.1650,
2011-10,4.1960,
2011-11,4.2410,
2011-12,4.2640,
2012-01,4.2970,
2012-02,4.3170,
2012-03,4.3390,
2012-04,4.3770,
2012-05,4.4310,
2012-06,4.4870,
2012-07,4.5450,
2012-08,4.5980,
2012-09,4.6570,
2012-10,4.7260,
2012-11,4.7980,
2012-12,4.8780,
2013-01,4.9380,
2013-02,5.0060,
2013-03,5.0820,
2013-04,5.1470,
2013-05,5.2440,
2013-06,5.3480,
2013-07,5.4650,
2013-08,5.6320,
2013-09,5.7530,
2013-10,5.8720,
2013-11,6.1010,
2013-12,6.4810,
2014-01,7.8600,
2014-02,7.7740,
2014-03,7.9020,
2014-04,7.9020,
2014-05,7.9800,
2014-06,8.0330,
2014-07,8.1130,
2014-08,8.3010,
2014-09,8.3300,
2014-10,8.4000,
2014-11,8.4240,
2014-12,8.4510,
2015-01,8.5440,
"","Source: Banco de la Nación Argentina, Buenos Aires.",
