"",BBK01.OEHM04N,BBK01.OEHM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:46,
2002-01,1.199,
2002-04,1.362,
2002-07,0.976,
2002-10,1.158,
2003-01,0.786,
2003-04,0.723,
2003-07,0.701,
2003-10,0.868,
2004-01,0.686,
2004-04,0.661,
2004-07,0.755,
2004-10,0.839,
2005-01,0.669,
2005-04,0.651,
2005-07,0.652,
2005-10,0.930,
2006-01,0.690,
2006-04,0.882,
2006-07,0.925,
2006-10,1.264,
2007-01,0.916,
2007-04,1.275,
2007-07,1.729,
2007-10,1.497,
2008-01,1.466,
2008-04,1.606,
2008-07,1.942,
2008-10,1.868,
2009-01,1.582,
2009-04,1.669,
2009-07,1.478,
2009-10,1.359,
2010-01,0.987,
2010-04,1.185,
2010-07,1.256,
2010-10,1.686,
2011-01,1.461,
2011-04,1.666,
2011-07,1.406,
2011-10,1.649,
2012-01,1.418,
2012-04,1.401,
2012-07,1.174,
2012-10,1.580,
2013-01,1.628,
2013-04,1.499,
2013-07,1.546,
2013-10,1.319,
2014-01,1.234,
2014-04,1.041,
2014-07,1.008,
