"",BBK01.CEBU30,BBK01.CEBU30_FLAGS
"",short-term savings deposits debtor: Monetary financial institutions                   creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:15,
1991-01,265.0,
1991-04,262.9,
1991-07,260.9,
1991-10,266.2,
1992-01,267.0,
1992-04,268.9,
1992-07,270.7,
1992-10,272.1,
1993-01,283.0,
1993-04,287.1,
1993-07,292.0,
1993-10,306.2,
1994-01,317.3,
1994-04,323.8,
1994-07,331.8,
1994-10,340.8,
1995-01,351.8,
1995-04,361.3,
1995-07,370.7,
1995-10,390.4,
1996-01,414.8,
1996-04,426.4,
1996-07,435.9,
1996-10,451.0,
1997-01,465.6,
1997-04,470.8,
1997-07,476.3,
1997-10,483.6,
1998-01,492.1,
1998-04,494.6,
1998-07,497.7,
1998-10,505.5,
1999-01,513.4,
1999-04,518.8,
1999-07,518.2,
1999-10,513.5,
2000-01,501.5,
2000-04,484.8,
2000-07,471.4,
2000-10,458.7,
2001-01,454.9,
2001-04,455.7,
2001-07,459.0,
2001-10,470.7,
2002-01,475.6,
2002-04,469.2,
2002-07,471.7,
2002-10,480.9,
2003-01,492.6,
2003-04,498.0,
2003-07,506.3,
2003-10,508.7,
2004-01,514.0,
2004-04,517.5,
2004-07,521.6,
2004-10,523.1,
2005-01,526.8,
2005-04,527.9,
2005-07,529.9,
2005-10,526.0,
2006-01,524.8,
2006-04,519.3,
2006-07,509.6,
2006-10,493.9,
2007-01,483.2,
2007-04,473.4,
2007-07,462.7,
2007-10,452.2,
2008-01,446.4,
2008-04,442.2,
2008-07,433.4,
2008-10,431.1,
2009-01,445.6,
2009-04,456.3,
2009-07,470.6,
2009-10,481.5,
2010-01,495.7,
2010-04,502.1,
2010-07,511.9,
2010-10,520.2,
2011-01,527.6,
2011-04,524.8,
2011-07,522.8,
2011-10,523.1,
2012-01,530.4,
2012-04,531.0,
2012-07,534.5,
2012-10,536.5,
2013-01,538.6,
2013-04,539.4,
2013-07,539.8,
2013-10,540.3,
2014-01,539.8,
