"",BBK01.OELL04K,BBK01.OELL04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:00,
2002-01,0.293,
2002-04,0.256,
2002-07,0.265,
2002-10,0.294,
2003-01,0.316,
2003-04,0.289,
2003-07,0.278,
2003-10,0.291,
2004-01,0.284,
2004-04,0.264,
2004-07,0.256,
2004-10,0.290,
2005-01,0.271,
2005-04,0.267,
2005-07,0.286,
2005-10,0.279,
2006-01,0.257,
2006-04,0.245,
2006-07,0.259,
2006-10,0.251,
2007-01,0.263,
2007-04,0.290,
2007-07,0.300,
2007-10,0.267,
2008-01,0.355,
2008-04,0.408,
2008-07,0.473,
2008-10,0.661,
2009-01,0.461,
2009-04,0.280,
2009-07,0.240,
2009-10,0.180,
2010-01,0.153,
2010-04,0.161,
2010-07,0.137,
2010-10,0.132,
2011-01,0.129,
2011-04,0.131,
2011-07,0.148,
2011-10,0.133,
2012-01,0.124,
2012-04,0.117,
2012-07,0.091,
2012-10,0.082,
2013-01,0.090,
2013-04,0.093,
2013-07,0.083,
2013-10,0.060,
2014-01,0.080,
2014-04,0.085,
2014-07,0.076,
