"",BBK01.OEAA39N,BBK01.OEAA39N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:17,
2002-01,159.572,
2002-04,161.683,
2002-07,163.954,
2002-10,167.380,
2003-01,168.146,
2003-04,167.373,
2003-07,170.312,
2003-10,172.300,
2004-01,173.281,
2004-04,176.692,
2004-07,181.642,
2004-10,161.316,
2005-01,166.455,
2005-04,168.067,
2005-07,168.860,
2005-10,170.626,
2006-01,177.132,
2006-04,177.829,
2006-07,179.483,
2006-10,180.638,
2007-01,180.316,
2007-04,181.280,
2007-07,182.808,
2007-10,182.797,
2008-01,182.943,
2008-04,184.355,
2008-07,181.552,
2008-10,181.444,
2009-01,180.404,
2009-04,180.899,
2009-07,182.315,
2009-10,182.735,
2010-01,183.275,
2010-04,183.318,
2010-07,185.114,
2010-10,186.045,
2011-01,186.307,
2011-04,187.265,
2011-07,188.859,
2011-10,189.514,
2012-01,189.792,
2012-04,185.712,
2012-07,187.100,
2012-10,189.277,
2013-01,189.654,
2013-04,190.876,
2013-07,192.290,
2013-10,193.223,
2014-01,193.581,
2014-04,194.723,
2014-07,196.208,
