"",BBK01.OEBB05L,BBK01.OEBB05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:16,
2002-01,82.456,
2002-04,72.592,
2002-07,74.639,
2002-10,73.532,
2003-01,80.877,
2003-04,77.684,
2003-07,80.718,
2003-10,79.784,
2004-01,86.882,
2004-04,81.311,
2004-07,85.592,
2004-10,86.754,
2005-01,98.389,
2005-04,103.049,
2005-07,117.669,
2005-10,126.634,
2006-01,137.709,
2006-04,142.861,
2006-07,145.637,
2006-10,126.467,
2007-01,146.543,
2007-04,152.666,
2007-07,150.944,
2007-10,156.642,
2008-01,172.237,
2008-04,166.564,
2008-07,168.899,
2008-10,177.690,
2009-01,192.469,
2009-04,188.246,
2009-07,184.303,
2009-10,175.562,
2010-01,165.912,
2010-04,173.180,
2010-07,166.521,
2010-10,175.892,
2011-01,185.483,
2011-04,182.466,
2011-07,182.622,
2011-10,184.306,
2012-01,182.633,
2012-04,181.489,
2012-07,179.594,
2012-10,178.518,
2013-01,181.590,
2013-04,190.640,
2013-07,155.883,
2013-10,157.692,
2014-01,159.194,
2014-04,160.137,
2014-07,162.802,
