"",BBK01.OEAD32K,BBK01.OEAD32K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:46,
2002-01,0.219,
2002-04,0.231,
2002-07,0.215,
2002-10,0.214,
2003-01,0.218,
2003-04,0.210,
2003-07,0.201,
2003-10,0.193,
2004-01,0.236,
2004-04,0.228,
2004-07,0.232,
2004-10,0.215,
2005-01,0.215,
2005-04,0.213,
2005-07,0.210,
2005-10,0.219,
2006-01,0.217,
2006-04,0.225,
2006-07,0.214,
2006-10,0.282,
2007-01,0.172,
2007-04,0.173,
2007-07,0.167,
2007-10,0.178,
2008-01,0.281,
2008-04,0.292,
2008-07,0.311,
2008-10,0.280,
2009-01,0.268,
2009-04,0.259,
2009-07,0.256,
2009-10,0.264,
2010-01,0.264,
2010-04,0.328,
2010-07,0.369,
2010-10,0.356,
2011-01,0.361,
2011-04,0.359,
2011-07,0.360,
2011-10,0.359,
2012-01,0.343,
2012-04,0.361,
2012-07,0.350,
2012-10,0.372,
2013-01,0.366,
2013-04,0.348,
2013-07,0.341,
2013-10,0.329,
2014-01,0.312,
2014-04,0.319,
2014-07,0.315,
