"",BBK01.OECI02P,BBK01.OECI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:29,
2002-01,0.436,
2002-04,0.380,
2002-07,0.555,
2002-10,0.371,
2003-01,0.505,
2003-04,0.460,
2003-07,0.502,
2003-10,0.526,
2004-01,0.472,
2004-04,0.476,
2004-07,0.478,
2004-10,0.602,
2005-01,0.640,
2005-04,0.789,
2005-07,0.785,
2005-10,0.741,
2006-01,0.648,
2006-04,0.630,
2006-07,0.587,
2006-10,0.627,
2007-01,0.626,
2007-04,0.636,
2007-07,0.729,
2007-10,0.753,
2008-01,0.702,
2008-04,0.710,
2008-07,0.689,
2008-10,0.922,
2009-01,1.182,
2009-04,1.061,
2009-07,1.226,
2009-10,1.388,
2010-01,1.211,
2010-04,1.272,
2010-07,1.373,
2010-10,1.316,
2011-01,1.125,
2011-04,1.131,
2011-07,1.224,
2011-10,1.368,
2012-01,1.234,
2012-04,1.403,
2012-07,1.276,
2012-10,1.423,
2013-01,1.244,
2013-04,1.184,
2013-07,1.191,
2013-10,1.221,
2014-01,1.237,
2014-04,1.183,
2014-07,1.154,
