"",BBK01.OEYL01Q,BBK01.OEYL01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:57,
2002-01,1.073,
2002-04,1.081,
2002-07,1.079,
2002-10,1.116,
2003-01,1.145,
2003-04,1.395,
2003-07,1.626,
2003-10,1.541,
2004-01,1.620,
2004-04,1.064,
2004-07,1.056,
2004-10,1.085,
2005-01,1.181,
2005-04,1.080,
2005-07,1.080,
2005-10,1.091,
2006-01,1.177,
2006-04,1.175,
2006-07,1.174,
2006-10,1.208,
2007-01,1.311,
2007-04,1.263,
2007-07,1.927,
2007-10,2.124,
2008-01,2.059,
2008-04,2.090,
2008-07,2.134,
2008-10,2.080,
2009-01,1.912,
2009-04,1.890,
2009-07,1.897,
2009-10,1.927,
2010-01,2.132,
2010-04,2.291,
2010-07,2.266,
2010-10,2.304,
2011-01,2.290,
2011-04,2.305,
2011-07,2.379,
2011-10,2.372,
2012-01,2.441,
2012-04,4.478,
2012-07,4.086,
2012-10,3.714,
2013-01,4.545,
2013-04,4.878,
2013-07,5.091,
2013-10,4.603,
2014-01,4.968,
2014-04,6.613,
2014-07,5.591,
