"",BBK01.OECB22R,BBK01.OECB22R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:43,
2002-01,0.037,
2002-04,0.040,
2002-07,0.037,
2002-10,0.048,
2003-01,0.054,
2003-04,0.040,
2003-07,0.037,
2003-10,0.035,
2004-01,0.050,
2004-04,0.053,
2004-07,0.061,
2004-10,0.055,
2005-01,0.072,
2005-04,0.069,
2005-07,0.067,
2005-10,0.060,
2006-01,0.036,
2006-04,0.031,
2006-07,0.058,
2006-10,0.029,
2007-01,0.047,
2007-04,0.020,
2007-07,0.030,
2007-10,0.042,
2008-01,0.095,
2008-04,0.199,
2008-07,0.220,
2008-10,0.100,
2009-01,0.066,
2009-04,0.057,
2009-07,0.057,
2009-10,0.058,
2010-01,0.066,
2010-04,0.061,
2010-07,0.065,
2010-10,0.035,
2011-01,0.037,
2011-04,0.035,
2011-07,0.034,
2011-10,0.039,
2012-01,0.033,
2012-04,0.036,
2012-07,0.037,
2012-10,0.044,
2013-01,0.043,
2013-04,0.079,
2013-07,0.046,
2013-10,0.049,
2014-01,0.051,
2014-04,0.044,
2014-07,0.046,
