"",BBFN1.M.DE.N.1.L.KR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Korea, Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:35,
1994-07,0.939,
1994-08,0.941,
1994-09,0.908,
1994-10,0.983,
1994-11,0.994,
1994-12,1.048,
1995-01,1.074,
1995-02,1.122,
1995-03,1.117,
1995-04,1.142,
1995-05,1.155,
1995-06,1.017,
1995-07,1.114,
1995-08,1.174,
1995-09,1.208,
1995-10,1.143,
1995-11,1.094,
1995-12,1.088,
1996-01,1.133,
1996-02,1.154,
1996-03,1.275,
1996-04,1.321,
1996-05,1.326,
1996-06,1.252,
1996-07,1.266,
1996-08,1.272,
1996-09,1.129,
1996-10,1.197,
1996-11,1.173,
1996-12,1.144,
1997-01,1.207,
1997-02,1.183,
1997-03,1.251,
1997-04,1.255,
1997-05,1.408,
1997-06,1.503,
1997-07,1.501,
1997-08,1.546,
1997-09,1.566,
1997-10,1.625,
1997-11,1.572,
1997-12,1.631,
1998-01,1.620,
1998-02,1.614,
1998-03,1.611,
1998-04,1.631,
1998-05,1.454,
1998-06,1.463,
1998-07,1.353,
1998-08,1.242,
1998-09,1.284,
1998-10,1.249,
1998-11,1.304,
1998-12,1.279,
1999-01,1.281,
1999-02,1.138,
1999-03,1.368,
1999-04,1.390,
1999-05,1.227,
1999-06,1.064,
1999-07,1.103,
1999-08,1.141,
1999-09,1.092,
1999-10,1.144,
1999-11,1.247,
1999-12,1.243,
2000-01,1.229,
2000-02,1.205,
2000-03,1.080,
2000-04,1.076,
2000-05,1.008,
2000-06,1.033,
2000-07,1.015,
2000-08,0.971,
2000-09,1.183,
2000-10,1.216,
2000-11,1.332,
2000-12,1.369,
2001-01,1.303,
2001-02,1.303,
2001-03,1.356,
2001-04,1.300,
2001-05,1.322,
2001-06,1.279,
2001-07,1.200,
2001-08,1.197,
2001-09,1.200,
2001-10,1.092,
2001-11,1.160,
2001-12,1.243,
2002-01,1.218,
2002-02,1.145,
2002-03,1.181,
2002-04,1.131,
2002-05,1.141,
2002-06,1.132,
2002-07,1.125,
2002-08,1.288,
2002-09,1.200,
2002-10,1.216,
2002-11,1.292,
2002-12,1.198,
2003-01,1.301,
2003-02,1.265,
2003-03,1.368,
2003-04,1.332,
2003-05,1.344,
2003-06,1.358,
2003-07,1.542,
2003-08,1.599,
2003-09,1.614,
2003-10,1.655,
2003-11,1.675,
2003-12,1.698,
2004-01,1.795,
2004-02,1.849,
2004-03,1.835,
2004-04,1.867,
2004-05,1.858,
2004-06,1.717,
2004-07,1.735,
2004-08,1.807,
2004-09,1.844,
2004-10,1.880,
2004-11,2.662,
2004-12,2.576,
2005-01,2.702,
2005-02,2.726,
2005-03,2.849,
2005-04,2.909,
2005-05,3.012,
2005-06,3.226,
2005-07,3.356,
2005-08,3.422,
2005-09,3.428,
2005-10,3.450,
2005-11,3.510,
2005-12,3.691,
2006-01,3.625,
2006-02,3.599,
2006-03,3.647,
2006-04,3.260,
2006-05,3.358,
2006-06,3.630,
2006-07,3.564,
2006-08,3.684,
2006-09,4.033,
2006-10,4.290,
2006-11,4.318,
2006-12,4.304,
2007-01,4.122,
2007-02,4.075,
2007-03,4.220,
2007-04,4.201,
2007-05,4.045,
2007-06,4.226,
2007-07,4.096,
2007-08,4.301,
2007-09,4.326,
2007-10,4.316,
2007-11,4.353,
2007-12,4.222,
2008-01,4.032,
2008-02,3.865,
2008-03,3.780,
2008-04,3.555,
2008-05,3.394,
2008-06,3.431,
2008-07,3.632,
2008-08,3.595,
2008-09,3.594,
2008-10,3.527,
2008-11,3.480,
2008-12,3.108,
2009-01,3.010,
2009-02,3.256,
2009-03,3.274,
2009-04,3.010,
2009-05,3.025,
2009-06,2.645,
2009-07,2.662,
2009-08,2.806,
2009-09,3.012,
2009-10,3.091,
2009-11,3.027,
2009-12,3.056,
2010-01,3.096,
2010-02,3.149,
2010-03,3.197,
2010-04,3.189,
2010-05,3.746,
2010-06,3.767,
2010-07,3.653,
2010-08,3.761,
2010-09,3.851,
2010-10,3.866,
2010-11,3.342,
2010-12,3.417,
2011-01,3.168,
2011-02,3.251,
2011-03,3.192,
2011-04,3.193,
2011-05,3.152,
2011-06,3.273,
2011-07,3.153,
2011-08,3.208,
2011-09,3.360,
2011-10,3.497,
2011-11,3.350,
2011-12,3.336,
2012-01,3.408,
2012-02,3.396,
2012-03,3.415,
2012-04,3.487,
2012-05,3.320,
2012-06,3.719,
2012-07,3.723,
2012-08,3.642,
2012-09,3.820,
2012-10,3.994,
2012-11,3.994,
2012-12,3.685,
2013-01,3.701,
2013-02,3.872,
2013-03,3.937,
2013-04,3.957,
2013-05,3.821,
2013-06,3.844,
2013-07,3.705,
2013-08,3.787,
2013-09,4.079,
2013-10,4.067,
2013-11,4.251,
2013-12,3.937,
2014-01,3.843,
2014-02,4.061,
2014-03,4.111,
2014-04,3.983,
2014-05,4.100,
2014-06,4.327,
2014-07,4.342,
2014-08,4.115,
2014-09,4.086,
2014-10,4.156,
2014-11,4.313,
2014-12,4.158,
