"",BBK01.OEAC05I,BBK01.OEAC05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:58,
2002-01,3.314,
2002-04,3.272,
2002-07,3.115,
2002-10,2.824,
2003-01,2.627,
2003-04,2.675,
2003-07,2.444,
2003-10,2.419,
2004-01,2.267,
2004-04,2.219,
2004-07,2.272,
2004-10,2.189,
2005-01,2.202,
2005-04,2.147,
2005-07,2.144,
2005-10,2.043,
2006-01,2.221,
2006-04,2.259,
2006-07,2.394,
2006-10,2.119,
2007-01,2.085,
2007-04,2.012,
2007-07,2.097,
2007-10,2.162,
2008-01,2.124,
2008-04,2.108,
2008-07,2.106,
2008-10,1.902,
2009-01,2.037,
2009-04,2.017,
2009-07,1.806,
2009-10,1.848,
2010-01,1.698,
2010-04,1.530,
2010-07,1.647,
2010-10,1.709,
2011-01,1.690,
2011-04,1.877,
2011-07,1.816,
2011-10,1.814,
2012-01,1.822,
2012-04,1.841,
2012-07,1.992,
2012-10,2.028,
2013-01,2.140,
2013-04,2.016,
2013-07,2.024,
2013-10,2.015,
2014-01,2.014,
2014-04,1.890,
2014-07,1.943,
