"",BBSF2.M.1.T.00000.HED01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.HED01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Hedgefunds / Number,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:06,
2009-09,18,
2009-10,18,
2009-11,17,
2009-12,16,
2010-01,16,
2010-02,17,
2010-03,19,
2010-04,18,
2010-05,18,
2010-06,18,
2010-07,19,
2010-08,20,
2010-09,21,
2010-10,21,
2010-11,21,
2010-12,22,
2011-01,24,
2011-02,21,
2011-03,19,
2011-04,20,
2011-05,20,
2011-06,19,
2011-07,20,
2011-08,20,
2011-09,20,
2011-10,20,
2011-11,20,
2011-12,18,
2012-01,19,
2012-02,19,
2012-03,22,
2012-04,29,
2012-05,29,
2012-06,28,
2012-07,28,
2012-08,25,
2012-09,25,
2012-10,26,
2012-11,24,
2012-12,23,
2013-01,23,
2013-02,23,
2013-03,23,
2013-04,24,
2013-05,23,
2013-06,23,
2013-07,29,
2013-08,30,
2013-09,31,
2013-10,31,
2013-11,31,
2013-12,31,
2014-01,31,
2014-02,31,
2014-03,31,
2014-04,31,
2014-05,31,
2014-06,31,
2014-07,31,
2014-08,31,
2014-09,31,
2014-10,31,
2014-11,31,
