"",BBK01.OEBB21O,BBK01.OEBB21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:56,
2002-01,-14.686,
2002-04,-14.582,
2002-07,-14.372,
2002-10,-12.441,
2003-01,-11.961,
2003-04,-11.511,
2003-07,-11.556,
2003-10,-10.180,
2004-01,-10.539,
2004-04,-9.782,
2004-07,-8.022,
2004-10,-7.554,
2005-01,1.165,
2005-04,0.944,
2005-07,0.876,
2005-10,0.783,
2006-01,0.705,
2006-04,0.460,
2006-07,0.832,
2006-10,0.812,
2007-01,0.712,
2007-04,0.591,
2007-07,0.482,
2007-10,0.497,
2008-01,0.565,
2008-04,0.514,
2008-07,0.506,
2008-10,0.502,
2009-01,0.561,
2009-04,0.580,
2009-07,0.651,
2009-10,0.557,
2010-01,0.714,
2010-04,0.695,
2010-07,0.749,
2010-10,0.741,
2011-01,0.478,
2011-04,0.546,
2011-07,0.406,
2011-10,0.399,
2012-01,0.290,
2012-04,0.232,
2012-07,0.287,
2012-10,0.202,
2013-01,0.264,
2013-04,0.267,
2013-07,0.233,
2013-10,0.207,
2014-01,0.211,
2014-04,0.213,
2014-07,0.194,
