"",BBFB1.M.N.DE.W1.S1.S1.T.D.SL._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SL._Z._Z._Z._T._X.N_FLAGS
"",Current account / Government goods and services / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:04,
1991-01,72.122,
1991-02,76.697,
1991-03,71.177,
1991-04,114.870,
1991-05,127.758,
1991-06,121.819,
1991-07,125.823,
1991-08,151.427,
1991-09,108.555,
1991-10,95.376,
1991-11,171.249,
1991-12,213.220,
1992-01,78.331,
1992-02,98.942,
1992-03,124.643,
1992-04,172.317,
1992-05,113.598,
1992-06,111.305,
1992-07,111.148,
1992-08,110.276,
1992-09,88.153,
1992-10,173.397,
1992-11,120.453,
1992-12,159.615,
1993-01,100.724,
1993-02,123.195,
1993-03,109.973,
1993-04,115.413,
1993-05,90.232,
1993-06,198.455,
1993-07,124.920,
1993-08,228.313,
1993-09,117.837,
1993-10,127.850,
1993-11,127.669,
1993-12,267.858,
1994-01,93.989,
1994-02,91.574,
1994-03,126.482,
1994-04,154.423,
1994-05,103.014,
1994-06,112.744,
1994-07,144.764,
1994-08,129.266,
1994-09,132.341,
1994-10,101.908,
1994-11,128.789,
1994-12,205.520,
1995-01,89.296,
1995-02,91.408,
1995-03,104.995,
1995-04,109.756,
1995-05,88.729,
1995-06,100.778,
1995-07,97.630,
1995-08,93.721,
1995-09,175.953,
1995-10,90.991,
1995-11,131.181,
1995-12,210.615,
1996-01,79.659,
1996-02,93.337,
1996-03,110.563,
1996-04,107.970,
1996-05,73.609,
1996-06,104.883,
1996-07,125.507,
1996-08,109.987,
1996-09,122.777,
1996-10,159.476,
1996-11,145.433,
1996-12,118.208,
1997-01,100.163,
1997-02,70.041,
1997-03,94.356,
1997-04,90.122,
1997-05,98.210,
1997-06,119.691,
1997-07,112.930,
1997-08,109.380,
1997-09,111.000,
1997-10,102.802,
1997-11,113.573,
1997-12,115.775,
1998-01,84.919,
1998-02,87.987,
1998-03,92.780,
1998-04,111.438,
1998-05,115.762,
1998-06,92.381,
1998-07,99.689,
1998-08,123.063,
1998-09,98.703,
1998-10,94.101,
1998-11,100.638,
1998-12,193.021,
1999-01,115.098,
1999-02,95.879,
1999-03,79.218,
1999-04,186.900,
1999-05,98.084,
1999-06,87.808,
1999-07,178.847,
1999-08,97.933,
1999-09,104.327,
1999-10,143.789,
1999-11,167.822,
1999-12,167.306,
2000-01,138.705,
2000-02,134.468,
2000-03,83.809,
2000-04,148.668,
2000-05,138.410,
2000-06,112.580,
2000-07,176.324,
2000-08,94.479,
2000-09,113.752,
2000-10,164.339,
2000-11,125.151,
2000-12,136.800,
2001-01,127.819,
2001-02,90.733,
2001-03,174.955,
2001-04,118.227,
2001-05,99.711,
2001-06,106.771,
2001-07,142.210,
2001-08,99.155,
2001-09,115.372,
2001-10,105.143,
2001-11,129.516,
2001-12,166.519,
2002-01,91.581,
2002-02,95.113,
2002-03,89.218,
2002-04,100.557,
2002-05,111.070,
2002-06,158.840,
2002-07,146.306,
2002-08,110.261,
2002-09,101.576,
2002-10,185.665,
2002-11,136.007,
2002-12,130.580,
2003-01,107.051,
2003-02,119.101,
2003-03,108.935,
2003-04,123.908,
2003-05,164.721,
2003-06,113.003,
2003-07,126.781,
2003-08,112.945,
2003-09,108.315,
2003-10,141.486,
2003-11,111.786,
2003-12,157.001,
2004-01,91.556,
2004-02,69.573,
2004-03,116.117,
2004-04,87.596,
2004-05,88.503,
2004-06,106.314,
2004-07,86.312,
2004-08,79.852,
2004-09,85.281,
2004-10,88.970,
2004-11,95.152,
2004-12,133.290,
2005-01,106.999,
2005-02,82.781,
2005-03,90.119,
2005-04,89.736,
2005-05,107.851,
2005-06,149.088,
2005-07,140.577,
2005-08,119.957,
2005-09,118.904,
2005-10,120.656,
2005-11,142.878,
2005-12,161.496,
2006-01,124.392,
2006-02,89.883,
2006-03,119.030,
2006-04,94.783,
2006-05,82.083,
2006-06,96.981,
2006-07,129.300,
2006-08,109.799,
2006-09,96.747,
2006-10,119.164,
2006-11,126.967,
2006-12,133.390,
2007-01,103.396,
2007-02,91.870,
2007-03,96.781,
2007-04,125.121,
2007-05,105.792,
2007-06,112.685,
2007-07,110.457,
2007-08,103.279,
2007-09,95.635,
2007-10,118.782,
2007-11,114.538,
2007-12,166.422,
2008-01,115.964,
2008-02,93.859,
2008-03,86.932,
2008-04,82.940,
2008-05,70.386,
2008-06,88.533,
2008-07,91.582,
2008-08,68.108,
2008-09,83.891,
2008-10,110.064,
2008-11,117.104,
2008-12,108.326,
2009-01,109.807,
2009-02,66.615,
2009-03,71.045,
2009-04,79.106,
2009-05,72.463,
2009-06,73.319,
2009-07,97.302,
2009-08,63.092,
2009-09,81.171,
2009-10,92.004,
2009-11,75.497,
2009-12,111.376,
2010-01,89.427,
2010-02,46.098,
2010-03,72.299,
2010-04,79.145,
2010-05,60.547,
2010-06,85.123,
2010-07,101.268,
2010-08,71.696,
2010-09,62.245,
2010-10,59.890,
2010-11,69.443,
2010-12,92.690,
2011-01,77.674,
2011-02,56.936,
2011-03,66.271,
2011-04,53.558,
2011-05,58.221,
2011-06,68.568,
2011-07,68.484,
2011-08,70.541,
2011-09,78.822,
2011-10,63.183,
2011-11,74.088,
2011-12,110.972,
2012-01,66.697,
2012-02,54.985,
2012-03,52.195,
2012-04,72.494,
2012-05,58.293,
2012-06,50.830,
2012-07,74.476,
2012-08,66.832,
2012-09,70.993,
2012-10,65.580,
2012-11,110.750,
2012-12,87.200,
2013-01,76.840,
2013-02,68.016,
2013-03,74.187,
2013-04,76.999,
2013-05,72.030,
2013-06,65.621,
2013-07,74.464,
2013-08,95.451,
2013-09,71.848,
2013-10,92.114,
2013-11,79.572,
2013-12,143.060,
2014-01,60.639,
2014-02,62.070,Provisional value
2014-03,65.245,Provisional value
2014-04,55.394,Provisional value
2014-05,62.544,Provisional value
2014-06,65.764,Provisional value
2014-07,88.228,Provisional value
2014-08,69.977,Provisional value
2014-09,116.418,
2014-10,94.174,
2014-11,117.097,
2014-12,157.496,Provisional value
