"",BBSF2.M.1.S.I0000.TOT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.TOT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Sales receipts / Domestic investors total / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:44,
2009-09,17121,
2009-10,18698,
2009-11,12962,
2009-12,25112,
2010-01,16851,
2010-02,9373,
2010-03,13506,
2010-04,12089,
2010-05,8411,
2010-06,10481,
2010-07,13127,
2010-08,11787,
2010-09,13217,
2010-10,15943,
2010-11,10578,
2010-12,19795,
2011-01,11055,
2011-02,14428,
2011-03,7930,
2011-04,9738,
2011-05,6257,
2011-06,7323,
2011-07,6832,
2011-08,6780,
2011-09,9169,
2011-10,10786,
2011-11,16783,
2011-12,22270,
2012-01,16995,
2012-02,20897,
2012-03,12560,
2012-04,8093,
2012-05,7831,
2012-06,15946,
2012-07,21090,
2012-08,12258,
2012-09,13680,
2012-10,13323,
2012-11,21132,
2012-12,30033,
2013-01,17097,
2013-02,18109,
2013-03,16937,
2013-04,11727,
2013-05,13283,
2013-06,12685,
2013-07,15329,
2013-08,7684,
2013-09,10486,
2013-10,13145,
2013-11,22137,
2013-12,27432,
2014-01,12670,
2014-02,14765,
2014-03,18596,
2014-04,14144,
2014-05,12159,
2014-06,13219,
2014-07,18027,
2014-08,10913,
2014-09,12310,
2014-10,27380,
2014-11,23267,
