"",BBK01.OECM02H,BBK01.OECM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:28,
2002-01,0.416,
2002-04,0.328,
2002-07,0.499,
2002-10,0.499,
2003-01,0.287,
2003-04,0.297,
2003-07,0.189,
2003-10,0.348,
2004-01,0.384,
2004-04,0.406,
2004-07,0.356,
2004-10,0.385,
2005-01,0.360,
2005-04,0.510,
2005-07,0.418,
2005-10,0.514,
2006-01,0.574,
2006-04,0.668,
2006-07,0.697,
2006-10,0.546,
2007-01,0.722,
2007-04,0.555,
2007-07,1.081,
2007-10,1.027,
2008-01,0.690,
2008-04,0.654,
2008-07,0.835,
2008-10,1.027,
2009-01,0.852,
2009-04,1.441,
2009-07,0.900,
2009-10,1.383,
2010-01,0.821,
2010-04,1.034,
2010-07,1.002,
2010-10,0.992,
2011-01,0.723,
2011-04,2.081,
2011-07,1.758,
2011-10,1.175,
2012-01,1.355,
2012-04,3.451,
2012-07,3.335,
2012-10,2.277,
2013-01,2.789,
2013-04,1.783,
2013-07,2.413,
2013-10,1.382,
2014-01,1.412,
2014-04,1.402,
2014-07,1.148,
