"",BBK01.OEAL04Q,BBK01.OEAL04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:17,
2002-01,2.736,
2002-04,2.653,
2002-07,2.723,
2002-10,2.670,
2003-01,2.544,
2003-04,2.260,
2003-07,2.404,
2003-10,2.320,
2004-01,2.359,
2004-04,2.306,
2004-07,2.494,
2004-10,2.431,
2005-01,2.283,
2005-04,2.197,
2005-07,2.312,
2005-10,2.460,
2006-01,2.787,
2006-04,2.899,
2006-07,3.519,
2006-10,3.509,
2007-01,3.694,
2007-04,3.928,
2007-07,4.265,
2007-10,4.974,
2008-01,5.351,
2008-04,5.688,
2008-07,6.319,
2008-10,6.334,
2009-01,4.585,
2009-04,3.825,
2009-07,3.087,
2009-10,2.428,
2010-01,2.157,
2010-04,1.985,
2010-07,1.773,
2010-10,1.630,
2011-01,1.614,
2011-04,1.707,
2011-07,1.805,
2011-10,1.833,
2012-01,1.848,
2012-04,1.848,
2012-07,1.931,
2012-10,1.965,
2013-01,1.630,
2013-04,1.853,
2013-07,1.987,
2013-10,2.359,
2014-01,2.275,
2014-04,2.349,
2014-07,2.359,
