"",BBK01.OELK03K,BBK01.OELK03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:24,
2002-01,0.088,
2002-04,0.097,
2002-07,0.104,
2002-10,0.099,
2003-01,0.087,
2003-04,0.083,
2003-07,0.079,
2003-10,0.072,
2004-01,0.070,
2004-04,0.063,
2004-07,0.065,
2004-10,0.066,
2005-01,0.062,
2005-04,0.064,
2005-07,0.060,
2005-10,0.060,
2006-01,0.063,
2006-04,0.065,
2006-07,0.071,
2006-10,0.069,
2007-01,0.060,
2007-04,0.058,
2007-07,0.056,
2007-10,0.051,
2008-01,0.057,
2008-04,0.062,
2008-07,0.072,
2008-10,0.080,
2009-01,0.070,
2009-04,0.061,
2009-07,0.055,
2009-10,0.040,
2010-01,0.030,
2010-04,0.032,
2010-07,0.028,
2010-10,0.032,
2011-01,0.032,
2011-04,0.034,
2011-07,0.037,
2011-10,0.040,
2012-01,0.035,
2012-04,0.033,
2012-07,0.031,
2012-10,0.028,
2013-01,0.027,
2013-04,0.029,
2013-07,0.029,
2013-10,0.041,
2014-01,0.041,
2014-04,0.032,
2014-07,0.032,
