"",BBK01.OELL08P,BBK01.OELL08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:29,
2002-01,2.457,
2002-04,2.418,
2002-07,2.268,
2002-10,2.326,
2003-01,2.469,
2003-04,2.504,
2003-07,2.503,
2003-10,2.605,
2004-01,2.634,
2004-04,2.670,
2004-07,2.670,
2004-10,2.713,
2005-01,2.683,
2005-04,2.670,
2005-07,2.644,
2005-10,2.655,
2006-01,2.587,
2006-04,2.567,
2006-07,2.546,
2006-10,2.552,
2007-01,2.504,
2007-04,2.468,
2007-07,2.350,
2007-10,2.295,
2008-01,2.220,
2008-04,2.170,
2008-07,2.094,
2008-10,2.165,
2009-01,2.207,
2009-04,2.224,
2009-07,2.254,
2009-10,2.288,
2010-01,2.290,
2010-04,2.276,
2010-07,2.318,
2010-10,2.392,
2011-01,2.480,
2011-04,2.576,
2011-07,2.569,
2011-10,2.589,
2012-01,2.581,
2012-04,2.556,
2012-07,2.491,
2012-10,2.480,
2013-01,2.377,
2013-04,2.384,
2013-07,2.370,
2013-10,2.425,
2014-01,2.475,
2014-04,2.445,
2014-07,2.403,
