"",BBEX3.M.KZT.USD.CA.AC.A01,BBEX3.M.KZT.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Kazakhstan / USD 1 = KZT ... (middle),
unit,KZT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:43,
1993-11,4.70,
1993-12,6.31,
1994-01,10.71,
1994-02,11.58,
1994-03,19.84,
1994-04,29.92,
1994-05,40.22,
1994-06,42.89,
1994-07,45.33,
1994-08,46.16,
1994-09,48.00,
1994-10,49.55,
1994-11,52.10,
1994-12,54.26,
1995-01,57.15,
1995-02,59.80,
1995-03,61.30,
1995-04,62.75,
1995-05,63.40,
1995-06,63.35,
1995-07,59.45,
1995-08,58.00,
1995-09,59.90,
1995-10,62.20,
1995-11,63.90,
1995-12,63.95,
1996-01,64.80,
1996-02,65.30,
1996-03,65.10,
1996-04,65.95,
1996-05,66.80,
1996-06,66.80,
1996-07,67.25,
1996-08,67.35,
1996-09,68.85,
1996-10,69.50,
1996-11,70.45,
1996-12,73.30,
1997-01,75.40,
1997-02,75.50,
1997-03,75.25,
1997-04,75.40,
1997-05,75.55,
1997-06,75.50,
1997-07,75.50,
1997-08,75.55,
1997-09,75.55,
1997-10,75.55,
1997-11,75.55,
1997-12,75.55,
1998-01,76.40,
1998-02,76.40,
1998-03,76.50,
1998-04,76.50,
1998-05,76.60,
1998-06,76.95,
1998-07,77.30,
1998-08,78.60,
1998-09,80.20,
1998-10,81.45,
1998-11,82.90,
1998-12,83.80,
1999-01,84.90,
1999-02,85.40,
1999-03,87.50,
1999-04,114.50,
1999-05,128.00,
1999-06,131.00,
1999-07,132.20,
1999-08,132.00,
1999-09,140.00,
1999-10,140.60,
1999-11,138.00,
1999-12,138.20,
2000-01,139.45,
2000-02,140.15,
2000-03,141.80,
2000-04,142.15,
2000-05,142.35,
2000-06,142.60,
2000-07,142.70,
2000-08,142.65,
2000-09,142.75,
2000-10,142.65,
2000-11,144.10,
2000-12,144.50,
2001-01,145.10,
2001-02,145.30,
2001-03,145.45,
2001-04,145.65,
2001-05,146.10,
2001-06,146.50,
2001-07,146.80,
2001-08,147.15,
2001-09,147.70,
2001-10,148.10,
2001-11,148.55,
2001-12,150.20,
2002-01,151.30,
2002-02,151.90,
2002-03,152.20,
2002-04,152.80,
2002-05,152.90,
2002-06,153.10,
2002-07,153.85,
2002-08,154.15,
2002-09,154.55,
2002-10,154.35,
2002-11,154.20,
2002-12,155.40,
2003-01,155.20,
2003-02,152.60,
2003-03,151.50,
2003-04,151.75,
2003-05,150.80,
2003-06,148.00,
2003-07,146.79,
