"",BBK01.OEHL08Q,BBK01.OEHL08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:18,
2002-01,6.728,
2002-04,6.621,
2002-07,6.574,
2002-10,6.726,
2003-01,6.752,
2003-04,6.701,
2003-07,6.699,
2003-10,6.801,
2004-01,6.738,
2004-04,6.680,
2004-07,6.627,
2004-10,6.702,
2005-01,6.618,
2005-04,6.570,
2005-07,6.538,
2005-10,6.614,
2006-01,6.517,
2006-04,6.460,
2006-07,6.328,
2006-10,6.243,
2007-01,6.030,
2007-04,5.803,
2007-07,5.642,
2007-10,5.615,
2008-01,5.520,
2008-04,5.402,
2008-07,5.285,
2008-10,5.415,
2009-01,5.570,
2009-04,5.671,
2009-07,5.717,
2009-10,5.901,
2010-01,6.013,
2010-04,6.009,
2010-07,6.020,
2010-10,6.150,
2011-01,6.190,
2011-04,6.200,
2011-07,6.278,
2011-10,6.374,
2012-01,6.439,
2012-04,6.512,
2012-07,6.542,
2012-10,6.700,
2013-01,6.825,
2013-04,6.970,
2013-07,7.029,
2013-10,7.113,
2014-01,7.158,
2014-04,7.029,
2014-07,6.915,
