"",BBK01.OEXB03L,BBK01.OEXB03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:35,
2002-01,9.646,
2002-04,9.801,
2002-07,10.456,
2002-10,10.777,
2003-01,12.351,
2003-04,12.757,
2003-07,13.166,
2003-10,13.594,
2004-01,15.084,
2004-04,15.619,
2004-07,15.991,
2004-10,15.355,
2005-01,15.927,
2005-04,15.679,
2005-07,17.170,
2005-10,19.330,
2006-01,20.055,
2006-04,20.450,
2006-07,22.098,
2006-10,21.772,
2007-01,22.846,
2007-04,24.935,
2007-07,26.182,
2007-10,27.412,
2008-01,28.340,
2008-04,28.847,
2008-07,32.342,
2008-10,32.956,
2009-01,35.946,
2009-04,36.048,
2009-07,35.801,
2009-10,36.930,
2010-01,37.833,
2010-04,38.614,
2010-07,36.465,
2010-10,37.025,
2011-01,36.504,
2011-04,34.205,
2011-07,35.336,
2011-10,35.396,
2012-01,35.567,
2012-04,36.135,
2012-07,36.127,
2012-10,36.602,
2013-01,36.257,
2013-04,35.959,
2013-07,36.167,
2013-10,37.116,
2014-01,37.206,
2014-04,38.276,
2014-07,39.638,
