"",BBFB1.Q.N.DE.GB.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GB.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / United Kingdom,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:16,
1991-01,-522.551,
1991-04,-4.616,
1991-07,-28.259,
1991-10,-80.146,
1992-01,-49.461,
1992-04,14.793,
1992-07,9.062,
1992-10,-66.965,
1993-01,-79.326,
1993-04,-71.163,
1993-07,-91.247,
1993-10,-91.026,
1994-01,-72.730,
1994-04,-4.216,
1994-07,-84.565,
1994-10,-102.563,
1995-01,-95.258,
1995-04,-7.789,
1995-07,-83.899,
1995-10,-162.370,
1996-01,-105.378,
1996-04,1.128,
1996-07,-25.947,
1996-10,-79.799,
1997-01,-87.842,
1997-04,83.032,
1997-07,-83.688,
1997-10,-114.259,
1998-01,-113.930,
1998-04,98.006,
1998-07,-121.445,
1998-10,-119.089,
1999-01,-118.659,
1999-04,159.722,
1999-07,-63.276,
1999-10,-37.762,
2000-01,-68.935,
2000-04,94.402,
2000-07,-59.988,
2000-10,-280.477,
2001-01,-141.413,
2001-04,112.353,
2001-07,-137.797,
2001-10,-199.710,
2002-01,-135.717,
2002-04,147.148,
2002-07,-17.935,
2002-10,-153.394,
2003-01,-121.011,
2003-04,123.406,
2003-07,-82.734,
2003-10,-168.627,
2004-01,-132.013,
2004-04,381.189,
2004-07,-212.596,
2004-10,-166.197,
2005-01,-87.523,
2005-04,341.636,
2005-07,-70.532,
2005-10,-71.519,
2006-01,-80.678,
2006-04,657.302,
2006-07,-134.682,
2006-10,-340.555,
2007-01,-163.268,
2007-04,1527.850,
2007-07,-185.151,
2007-10,-172.704,
2008-01,-74.739,
2008-04,1393.813,
2008-07,-386.724,
2008-10,-276.501,
2009-01,-181.146,
2009-04,1041.798,
2009-07,-355.055,
2009-10,-405.718,
2010-01,-234.460,
2010-04,680.304,
2010-07,-226.998,
2010-10,-457.601,
2011-01,-374.214,
2011-04,619.078,
2011-07,-235.805,
2011-10,-395.948,
2012-01,-198.340,
2012-04,737.844,
2012-07,-370.721,
2012-10,-312.834,
2013-01,-296.768,
2013-04,67.749,
2013-07,-247.722,
2013-10,-86.382,
2014-01,-125.069,Provisional value
2014-04,1076.808,Provisional value
2014-07,-108.570,Provisional value
