"",BBK01.OEXL06Q,BBK01.OEXL06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:23,
2002-01,0.058,
2002-04,0.053,
2002-07,0.045,
2002-10,0.042,
2003-01,0.040,
2003-04,0.050,
2003-07,0.051,
2003-10,0.052,
2004-01,0.053,
2004-04,0.053,
2004-07,0.052,
2004-10,0.049,
2005-01,0.052,
2005-04,0.050,
2005-07,0.052,
2005-10,0.051,
2006-01,0.052,
2006-04,0.055,
2006-07,0.056,
2006-10,0.057,
2007-01,0.033,
2007-04,0.036,
2007-07,0.035,
2007-10,0.041,
2008-01,0.054,
2008-04,0.062,
2008-07,0.064,
2008-10,0.075,
2009-01,0.084,
2009-04,0.070,
2009-07,0.064,
2009-10,0.060,
2010-01,0.075,
2010-04,0.097,
2010-07,0.114,
2010-10,0.125,
2011-01,0.142,
2011-04,0.159,
2011-07,0.168,
2011-10,0.168,
2012-01,0.158,
2012-04,0.162,
2012-07,0.153,
2012-10,0.144,
2013-01,0.126,
2013-04,0.101,
2013-07,0.098,
2013-10,0.089,
2014-01,0.081,
2014-04,0.064,
2014-07,0.056,
