"",BBSF2.M.1.T.00000.IMM01.I.F.BGS.U3.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGS.U3.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Developed properties / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:54,
2009-09,12335,
2009-10,12475,
2009-11,12242,
2009-12,12463,
2010-01,13204,
2010-02,12847,
2010-03,12904,
2010-04,13193,
2010-05,13303,
2010-06,13840,
2010-07,13541,
2010-08,13536,
2010-09,13115,
2010-10,12969,
2010-11,13346,
2010-12,12763,
2011-01,12561,
2011-02,12686,
2011-03,12344,
2011-04,11872,
2011-05,12061,
2011-06,11551,
2011-07,11796,
2011-08,11771,
2011-09,11696,
2011-10,11635,
2011-11,11937,
2011-12,12249,
2012-01,12245,
2012-02,12168,
2012-03,11944,
2012-04,12529,
2012-05,12640,
2012-06,12447,
2012-07,12782,
2012-08,12412,
2012-09,12506,
2012-10,12873,
2012-11,12516,
2012-12,12426,
2013-01,12310,
2013-02,12390,
2013-03,12589,
2013-04,12663,
2013-05,12647,
2013-06,12534,
2013-07,12335,
2013-08,12296,
2013-09,12510,
2013-10,12278,
2013-11,12936,
2013-12,12964,
2014-01,13030,
2014-02,13080,
2014-03,12834,
2014-04,12575,
2014-05,12757,
2014-06,12777,
2014-07,12576,
2014-08,12446,
2014-09,12647,
2014-10,12401,
2014-11,12523,
