"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.CA.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.CA.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Canada,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:56,
2009-09,2691,
2009-10,2675,
2009-11,2823,
2009-12,2900,
2010-01,2919,
2010-02,2944,
2010-03,2988,
2010-04,3095,
2010-05,3250,
2010-06,3281,
2010-07,3101,
2010-08,3218,
2010-09,3382,
2010-10,3394,
2010-11,3490,
2010-12,3419,
2011-01,3293,
2011-02,3340,
2011-03,3212,
2011-04,3128,
2011-05,3037,
2011-06,2986,
2011-07,3107,
2011-08,3200,
2011-09,3216,
2011-10,3332,
2011-11,3391,
2011-12,3511,
2012-01,3595,
2012-02,3567,
2012-03,3541,
2012-04,3639,
2012-05,3741,
2012-06,3622,
2012-07,3784,
2012-08,3723,
2012-09,3738,
2012-10,3820,
2012-11,3821,
2012-12,3823,
2013-01,3702,
2013-02,3750,
2013-03,3969,
2013-04,4047,
2013-05,4050,
2013-06,3899,
2013-07,4496,
2013-08,4617,
2013-09,4710,
2013-10,4959,
2013-11,5018,
2013-12,5055,
2014-01,5418,
2014-02,5531,
2014-03,5947,
2014-04,6138,
2014-05,6525,
2014-06,6730,
2014-07,6955,
2014-08,7167,
2014-09,7595,
2014-10,7784,
2014-11,7996,
