"",BBK01.OEAD05H,BBK01.OEAD05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:43,
2002-01,3.233,
2002-04,3.162,
2002-07,3.092,
2002-10,3.013,
2003-01,2.917,
2003-04,2.894,
2003-07,2.744,
2003-10,2.727,
2004-01,2.676,
2004-04,2.669,
2004-07,2.640,
2004-10,2.573,
2005-01,2.609,
2005-04,2.605,
2005-07,2.574,
2005-10,2.513,
2006-01,2.538,
2006-04,2.511,
2006-07,2.529,
2006-10,2.485,
2007-01,2.549,
2007-04,2.650,
2007-07,2.603,
2007-10,2.632,
2008-01,2.697,
2008-04,2.913,
2008-07,2.911,
2008-10,2.788,
2009-01,2.838,
2009-04,2.931,
2009-07,2.924,
2009-10,2.766,
2010-01,2.649,
2010-04,2.823,
2010-07,2.824,
2010-10,2.876,
2011-01,2.853,
2011-04,2.918,
2011-07,3.072,
2011-10,3.046,
2012-01,3.110,
2012-04,3.116,
2012-07,3.088,
2012-10,3.225,
2013-01,3.337,
2013-04,3.367,
2013-07,3.423,
2013-10,3.322,
2014-01,3.195,
2014-04,3.154,
2014-07,3.171,
