"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.U2.00013.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.U2.00013.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Euro area (changing composition) / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:28,
2009-09,25376,
2009-10,25902,
2009-11,27717,
2009-12,27982,
2010-01,28761,
2010-02,30595,
2010-03,31183,
2010-04,31863,
2010-05,32872,
2010-06,32342,
2010-07,33361,
2010-08,33392,
2010-09,33108,
2010-10,32113,
2010-11,30626,
2010-12,30808,
2011-01,29936,
2011-02,29404,
2011-03,28639,
2011-04,28108,
2011-05,28041,
2011-06,27984,
2011-07,29309,
2011-08,30094,
2011-09,31179,
2011-10,30628,
2011-11,29110,
2011-12,28941,
2012-01,29302,
2012-02,29169,
2012-03,27869,
2012-04,28460,
2012-05,28951,
2012-06,28691,
2012-07,28710,
2012-08,28778,
2012-09,28979,
2012-10,29022,
2012-11,29595,
2012-12,30003,
2013-01,30657,
2013-02,31820,
2013-03,31962,
2013-04,32382,
2013-05,32450,
2013-06,31715,
2013-07,32545,
2013-08,31674,
2013-09,31734,
2013-10,31294,
2013-11,30571,
2013-12,30726,
2014-01,31624,
2014-02,32550,
2014-03,32341,
2014-04,32970,
2014-05,33162,
2014-06,33028,
2014-07,33753,
2014-08,34319,
2014-09,34083,
2014-10,34491,
2014-11,35319,
