"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:18,
1991-01,190.424,
1991-04,425.186,
1991-07,1036.455,
1991-10,1452.943,
1992-01,1626.636,
1992-04,1255.829,
1992-07,423.696,
1992-10,431.507,
1993-01,1348.248,
1993-04,1526.338,
1993-07,1086.473,
1993-10,2440.495,
1994-01,480.771,
1994-04,955.917,
1994-07,148.100,
1994-10,282.941,
1995-01,306.990,
1995-04,392.579,
1995-07,516.283,
1995-10,1154.379,
1996-01,1279.308,
1996-04,646.165,
1996-07,399.039,
1996-10,1603.109,
1997-01,1319.098,
1997-04,1038.554,
1997-07,2060.566,
1997-10,1903.225,
1998-01,1529.180,
1998-04,1738.296,
1998-07,1293.808,
1998-10,1354.935,
1999-01,1455.239,
1999-04,2478.028,
1999-07,1891.075,
1999-10,2244.102,
2000-01,-186.784,
2000-04,298.604,
2000-07,-117.083,
2000-10,800.015,
2001-01,-76.225,
2001-04,-5.279,
2001-07,181.049,
2001-10,1136.565,
2002-01,-170.028,
2002-04,246.619,
2002-07,-299.986,
2002-10,58.755,
2003-01,2225.871,
2003-04,100.873,
2003-07,15.409,
2003-10,-387.737,
2004-01,-966.655,
2004-04,-425.329,
2004-07,593.552,
2004-10,-205.733,
2005-01,461.173,
2005-04,616.109,
2005-07,-2313.477,
2005-10,2664.545,
2006-01,102.873,
2006-04,1777.184,
2006-07,-5716.389,
2006-10,4943.089,
2007-01,1610.426,
2007-04,2902.066,
2007-07,2276.669,
2007-10,737.399,
2008-01,2939.646,
2008-04,2487.505,
2008-07,3128.955,
2008-10,-623.981,
2009-01,-817.665,
2009-04,-1997.570,
2009-07,-1795.797,
2009-10,-2785.765,
2010-01,-1445.680,
2010-04,-787.133,
2010-07,15.462,
2010-10,1288.441,
2011-01,-161.304,
2011-04,0.402,
2011-07,151.676,
2011-10,41.183,
2012-01,-408.680,
2012-04,-723.664,
2012-07,-103.024,
2012-10,1614.346,
2013-01,-1210.502,
2013-04,-249.007,
2013-07,-863.487,
2013-10,-210.780,
2014-01,-401.418,Provisional value
2014-04,13.990,Provisional value
2014-07,-98.190,Provisional value
2014-10,-1691.768,Provisional value
