"",BBK01.CEBFQ1,BBK01.CEBFQ1_FLAGS
"",longer-term loans (consolidated) debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:42,
1991-01,9.2,
1991-04,8.9,
1991-07,9.4,
1991-10,9.1,
1992-01,8.6,
1992-04,8.4,
1992-07,8.3,
1992-10,9.1,
1993-01,8.7,
1993-04,8.8,
1993-07,8.5,
1993-10,8.4,
1994-01,8.4,
1994-04,8.3,
1994-07,8.2,
1994-10,11.1,
1995-01,17.2,
1995-04,16.9,
1995-07,17.1,
1995-10,16.8,
1996-01,14.5,
1996-04,11.9,
1996-07,11.6,
1996-10,11.4,
1997-01,12.0,
1997-04,8.5,
1997-07,8.7,
1997-10,8.3,
1998-01,9.3,
1998-04,9.7,
1998-07,9.5,
1998-10,10.1,
1999-01,10.1,
1999-04,10.5,
1999-07,12.8,
1999-10,12.8,
2000-01,15.2,
2000-04,17.4,
2000-07,18.0,
2000-10,18.3,
2001-01,19.3,
2001-04,20.5,
2001-07,20.3,
2001-10,20.6,
2002-01,27.8,
2002-04,28.2,
2002-07,30.9,
2002-10,25.6,
2003-01,25.8,
2003-04,24.6,
2003-07,24.5,
2003-10,25.2,
2004-01,24.2,
2004-04,25.0,
2004-07,25.4,
2004-10,24.2,
2005-01,28.1,
2005-04,24.7,
2005-07,24.2,
2005-10,25.8,
2006-01,26.3,
2006-04,25.8,
2006-07,26.2,
2006-10,26.9,
2007-01,26.4,
2007-04,26.7,
2007-07,31.4,
2007-10,32.8,
2008-01,37.3,
2008-04,35.3,
2008-07,36.1,
2008-10,35.1,
2009-01,36.7,
2009-04,36.3,
2009-07,41.6,
2009-10,46.6,
2010-01,49.3,
2010-04,52.3,
2010-07,49.8,
2010-10,50.8,
2011-01,52.0,
2011-04,50.4,
2011-07,50.4,
2011-10,50.8,
2012-01,51.8,
2012-04,53.3,
2012-07,54.8,
2012-10,57.4,
2013-01,57.8,
2013-04,66.6,
2013-07,68.4,
2013-10,64.3,
2014-01,63.3,
