"",BBFB1.Q.N.DE.CA.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CA.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Canada,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:39,
1991-01,351.428,
1991-04,348.712,
1991-07,331.935,
1991-10,306.147,
1992-01,333.495,
1992-04,313.726,
1992-07,290.361,
1992-10,290.195,
1993-01,312.788,
1993-04,331.234,
1993-07,330.640,
1993-10,332.312,
1994-01,309.632,
1994-04,303.192,
1994-07,299.295,
1994-10,305.563,
1995-01,345.115,
1995-04,294.378,
1995-07,316.989,
1995-10,306.075,
1996-01,312.957,
1996-04,308.176,
1996-07,310.065,
1996-10,302.828,
1997-01,322.055,
1997-04,322.837,
1997-07,323.358,
1997-10,318.870,
1998-01,281.796,
1998-04,283.851,
1998-07,294.864,
1998-10,363.724,
1999-01,274.314,
1999-04,272.039,
1999-07,259.167,
1999-10,253.370,
2000-01,253.869,
2000-04,254.120,
2000-07,270.968,
2000-10,432.449,
2001-01,297.259,
2001-04,264.126,
2001-07,270.172,
2001-10,309.108,
2002-01,303.584,
2002-04,284.326,
2002-07,276.968,
2002-10,262.831,
2003-01,282.595,
2003-04,285.219,
2003-07,276.252,
2003-10,278.057,
2004-01,264.277,
2004-04,258.244,
2004-07,264.083,
2004-10,272.744,
2005-01,245.181,
2005-04,248.111,
2005-07,257.037,
2005-10,266.988,
2006-01,396.276,
2006-04,396.418,
2006-07,407.730,
2006-10,419.781,
2007-01,477.989,
2007-04,459.469,
2007-07,428.485,
2007-10,339.839,
2008-01,387.123,
2008-04,334.668,
2008-07,329.091,
2008-10,382.051,
2009-01,449.767,
2009-04,440.874,
2009-07,451.357,
2009-10,473.349,
2010-01,517.993,
2010-04,526.590,
2010-07,514.395,
2010-10,532.653,
2011-01,432.737,
2011-04,432.043,
2011-07,428.886,
2011-10,444.547,
2012-01,443.512,
2012-04,440.286,
2012-07,424.000,
2012-10,425.477,
2013-01,400.371,
2013-04,388.108,
2013-07,376.990,
2013-10,388.645,
2014-01,378.977,Provisional value
2014-04,393.231,Provisional value
2014-07,374.411,Provisional value
