"",BBK01.OECB04J,BBK01.OECB04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:08,
2002-01,1.810,
2002-04,1.766,
2002-07,1.731,
2002-10,1.781,
2003-01,1.744,
2003-04,1.711,
2003-07,1.691,
2003-10,1.641,
2004-01,1.630,
2004-04,1.637,
2004-07,1.628,
2004-10,1.572,
2005-01,2.255,
2005-04,2.321,
2005-07,2.320,
2005-10,2.318,
2006-01,2.291,
2006-04,2.284,
2006-07,2.192,
2006-10,2.056,
2007-01,1.928,
2007-04,1.936,
2007-07,1.953,
2007-10,1.816,
2008-01,1.815,
2008-04,1.832,
2008-07,1.862,
2008-10,1.824,
2009-01,1.820,
2009-04,1.824,
2009-07,1.791,
2009-10,1.779,
2010-01,1.777,
2010-04,1.772,
2010-07,1.750,
2010-10,1.709,
2011-01,1.693,
2011-04,1.670,
2011-07,1.676,
2011-10,1.699,
2012-01,1.677,
2012-04,7.421,
2012-07,7.109,
2012-10,1.879,
2013-01,1.891,
2013-04,1.801,
2013-07,1.814,
2013-10,1.834,
2014-01,1.801,
2014-04,1.799,
2014-07,1.801,
