"",BBK01.OEXJ04V,BBK01.OEXJ04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:46,
2002-01,0.499,
2002-04,0.479,
2002-07,0.497,
2002-10,0.453,
2003-01,0.539,
2003-04,0.421,
2003-07,0.475,
2003-10,0.469,
2004-01,0.459,
2004-04,0.354,
2004-07,0.357,
2004-10,0.371,
2005-01,0.359,
2005-04,0.373,
2005-07,0.393,
2005-10,0.437,
2006-01,0.418,
2006-04,0.460,
2006-07,0.550,
2006-10,0.534,
2007-01,0.645,
2007-04,0.769,
2007-07,0.853,
2007-10,0.871,
2008-01,0.943,
2008-04,1.017,
2008-07,1.054,
2008-10,0.805,
2009-01,0.569,
2009-04,0.483,
2009-07,0.338,
2009-10,0.279,
2010-01,0.275,
2010-04,0.263,
2010-07,0.265,
2010-10,0.295,
2011-01,0.321,
2011-04,0.336,
2011-07,0.449,
2011-10,0.831,
2012-01,0.973,
2012-04,1.100,
2012-07,1.167,
2012-10,1.185,
2013-01,1.196,
2013-04,1.189,
2013-07,1.178,
2013-10,1.221,
2014-01,1.102,
2014-04,1.082,
2014-07,1.010,
