"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.IE.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.IE.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Ireland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:24,
2009-09,7292,
2009-10,7218,
2009-11,7141,
2009-12,6893,
2010-01,6943,
2010-02,7470,
2010-03,8180,
2010-04,8248,
2010-05,8342,
2010-06,8704,
2010-07,8810,
2010-08,8706,
2010-09,7547,
2010-10,7613,
2010-11,7121,
2010-12,6884,
2011-01,6728,
2011-02,6657,
2011-03,6624,
2011-04,6557,
2011-05,6678,
2011-06,6790,
2011-07,6979,
2011-08,6889,
2011-09,6961,
2011-10,6853,
2011-11,7004,
2011-12,6942,
2012-01,7147,
2012-02,6805,
2012-03,6826,
2012-04,6846,
2012-05,7026,
2012-06,7074,
2012-07,7243,
2012-08,7269,
2012-09,7398,
2012-10,7404,
2012-11,7272,
2012-12,7172,
2013-01,7255,
2013-02,7294,
2013-03,7307,
2013-04,7014,
2013-05,6993,
2013-06,6958,
2013-07,6147,
2013-08,6080,
2013-09,6352,
2013-10,6417,
2013-11,6664,
2013-12,6646,
2014-01,6826,
2014-02,6712,
2014-03,6893,
2014-04,6697,
2014-05,6844,
2014-06,6720,
2014-07,6731,
2014-08,6750,
2014-09,6606,
2014-10,6688,
2014-11,6414,
