"",BBK01.CEFU01,BBK01.CEFU01_FLAGS
"",short-term savings deposits                   debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:44,
1999-01,3.5,
1999-04,3.4,
1999-07,3.6,
1999-10,3.5,
2000-01,3.4,
2000-04,3.3,
2000-07,3.2,
2000-10,3.1,
2001-01,3.0,
2001-04,3.0,
2001-07,2.9,
2001-10,2.7,
2002-01,2.8,
2002-04,2.8,
2002-07,2.9,
2002-10,2.8,
2003-01,2.9,
2003-04,3.2,
2003-07,3.3,
2003-10,3.3,
2004-01,3.6,
2004-04,3.6,
2004-07,3.7,
2004-10,3.6,
2005-01,3.8,
2005-04,3.8,
2005-07,4.1,
2005-10,3.8,
2006-01,3.8,
2006-04,3.7,
2006-07,3.5,
2006-10,3.3,
2007-01,3.4,
2007-04,3.2,
2007-07,3.1,
2007-10,3.0,
2008-01,3.0,
2008-04,3.0,
2008-07,3.0,
2008-10,3.0,
2009-01,3.3,
2009-04,3.5,
2009-07,3.9,
2009-10,4.0,
2010-01,4.5,
2010-04,4.9,
2010-07,5.1,
2010-10,5.0,
2011-01,5.2,
2011-04,5.1,
2011-07,5.1,
2011-10,4.6,
2012-01,4.8,
2012-04,5.1,
2012-07,5.5,
2012-10,5.4,
2013-01,5.7,
2013-04,5.9,
2013-07,6.1,
2013-10,5.9,
2014-01,6.0,
2014-04,6.1,
2014-07,6.1,
